Date,Time,Country,Paises,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,Odd_BTTS_No,League,ROUND
22.08.2023,19:00,EUROPE,CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Antwerp (Bel),AEK Athens FC (Gre),2.1,3.4,3.4,2.08,1.73,1.83,1.83,EUROPE - CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,19:00,EUROPE,CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Rakow (Pol),FC Copenhagen (Den),2.5,3.3,2.75,2.1,1.7,1.83,1.83,EUROPE - CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,19:00,EUROPE,CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Rangers (Sco),PSV (Ned),2.9,3.5,2.3,1.8,2.0,1.62,2.2,EUROPE - CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,00:10,ARGENTINA,PRIMERA NACIONAL - ROUND 30,Club A. Guemes,Almirante Brown,2.3,3.1,3.4,2.7,1.44,2.2,1.62,ARGENTINA - PRIMERA NACIONAL,ROUND 30
22.08.2023,10:30,ASIA,AFC CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Incheon (Kor),Hai Phong (Vie),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,10:30,ASIA,AFC CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Urawa Reds (Jpn),Lee Man Warriors (Hkg),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,11:30,ASIA,AFC CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Shanghai Port (Chn),Pathum United (Tha),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,11:30,ASIA,AFC CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Zhejiang Professional (Chn),Port MTI FC (Tha),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,15:30,ASIA,AFC CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Al Wakra (Qat),Navbahor Namangan (Uzb),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,16:00,ASIA,AFC CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Tractor (Irn),Al Sharjah (Uae),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,17:20,ASIA,AFC CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Al Nassr (Sau),Shabab Al-Ahli Dubai (Uae),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,17:30,ASIA,AFC CHAMPIONS LEAGUE - QUALIFICATION - FINAL,Al Arabi (Qat),OKMK (Uzb),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CHAMPIONS LEAGUE - QUALIFICATION,FINAL
22.08.2023,11:00,ASIA,AFC CUP - QUALIFICATION - PLAY OFFS - FINAL,Khujand (Taj),Merw (Tkm),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CUP - QUALIFICATION - PLAY OFFS,FINAL
22.08.2023,13:30,ASIA,AFC CUP - QUALIFICATION - PLAY OFFS - FINAL,Mohun Bagan (Ind),Abahani Limited (Ban),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CUP - QUALIFICATION - PLAY OFFS,FINAL
22.08.2023,14:00,ASIA,AFC CUP - QUALIFICATION - PLAY OFFS - FINAL,Al-Ittihad (Syr),Al Khaleel (Pal),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CUP - QUALIFICATION - PLAY OFFS,FINAL
22.08.2023,16:00,ASIA,AFC CUP - QUALIFICATION - PLAY OFFS - FINAL,Al Khalidiyah (Bhr),Al Nahda (Oma),2.3,3.1,3.4,2.7,1.44,2.2,1.62,ASIA - AFC CUP - QUALIFICATION - PLAY OFFS,FINAL
