date_unix,Data,Pais,Liga,Home,Away,Home Team Points Per Game (Pre-Match),Away Team Points Per Game (Pre-Match),Home Team Points Per Game (Current),Away Team Points Per Game (Current),Average Goals,BTTS Average,Over05 Average,Over15 Average,Over25 Average,Over35 Average,Over45 Average,Over05 FHG HT Average,Over15 FHG HT Average,Over05 2HG Average,Over15 2HG Average,Average Corners,Average Cards,Average Over 8.5 Corners,Average Over 9.5 Corners,Average Over 10.5 Corners,Match Status,Result - Home Team Goals,Result - Away Team Goals,Home Team Corners,Away Team Corners,Home Team Offsides,Away Team Offsides,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Shots,Away Team Shots,Home Team Shots On Target,Away Team Shots On Target,Home Team Shots Off Target,Away Team Shots Off Target,Home Team Possession,Away Team Possession,FT_Odd_H,Odds_Draw,FT_Odd_A,Odds_Over15,Odds_Over25,Odds_Over35,Odds_Over45,Odds_BTTS_Yes,Odds_BTTS_No,Home Team Pre-Match xG,Away Team Pre-Match xG,Home Team xG,Away Team xG,Odds_Under05,Odds_Under15,Odds_Under25,Odds_Under35,Odds_Under45,Odds_DoubleChance_1x,Odds_DoubleChance_12,Odds_DoubleChance_x2,Odds_DrawNoBet_1,Odds_DrawNoBet_2,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115,Odds_Corners_Under75,Odds_Corners_Under85,Odds_Corners_Under95,Odds_Corners_Under105,Odds_Corners_Under115,Under05 Average,Under15 Average,Under25 Average,Under35 Average,Under45 Average,Odds_1st_Half_Over05,Odds_1st_Half_Over15,Odds_1st_Half_Over25,Odds_1st_Half_Under05,Odds_1st_Half_Under15,Odds_1st_Half_Under25,Odds_2nd_Half_Over05,Odds_2nd_Half_Over15,Odds_2nd_Half_Over25,Odds_2nd_Half_Under05,Odds_2nd_Half_Under15,Odds_2nd_Half_Under25,Odds_1st_Half_BTTS_Yes,Odds_1st_Half_BTTS_No,Odds_2nd_Half_BTTS_Yes,Odds_2nd_Half_BTTS_No,1H BTTS Average,Odds_Home_Team_Had_More_Corners,Odds_Both_Teams_Same_Corners,Odds_Away_Team_Had_More_Corners,Home Team Overall Points Per Game (Pre-Match),Away Team Overall Points Per Game (Pre-Match),Rodada,Match FootyStats URL,Hora
1697886000,21.10.2023,Germany,2. Bundesliga,Hamburger SV,Greuther Fürth,3.0,0.5,3.0,0.5,3.25,50,100,88,50,25,25,75,63,75,38,12.5,4.25,75,75,63,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.6,4.33,4.75,1.14,1.47,2.04,3.4,1.49,2.45,2.17,1.42,0.0,0.0,13.0,5.75,2.32,1.69,1.28,1.2,1.2,2.2,,,1.36,1.6,1.95,2.5,3.2,2.9,2.2,1.75,1.48,1.3,0,13,50,75,75,1.23,2.05,4.5,3.7,1.66,1.17,1.12,1.6,2.8,5.75,2.2,1.38,,,,,38,1.61,9.5,2.72,1.89,1.33,10,/germany/hamburger-sv-vs-spvgg-greuther-furth-h2h-stats,08:00
1697889600,21.10.2023,Spain,La Liga,Real Sociedad,RCD Mallorca,2.2,1.0,2.2,1.0,4.2,80,100,90,60,50,40,90,50,100,60,7.4,6.4,50,40,40,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,3.7,7.5,1.48,2.38,5.0,10.0,2.5,1.5,1.32,1.18,0.0,0.0,7.5,2.65,1.47,1.18,1.05,1.1,1.26,2.4,,,1.4,1.72,2.18,2.85,3.85,2.6,1.98,1.58,1.33,1.19,0,10,40,50,60,1.53,3.5,11.0,2.38,1.29,1.05,1.33,2.63,6.5,3.25,1.44,1.11,,,,,50,1.44,8.0,3.45,1.67,0.89,10,/spain/real-sociedad-de-futbol-vs-real-club-deportivo-mallorca-h2h-stats,09:00
1697889600,21.10.2023,Ukraine,Ukrainian Premier League,Chornomorets,Minai,2.5,0.4,2.5,0.4,2.1,43,78,55,33,23,23,58,10,65,43,6.95,6.15,43,43,33,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.57,3.7,5.0,1.3,1.89,3.5,6.45,1.95,1.8,1.75,1.08,0.0,0.0,8.6,3.3,1.79,1.28,1.07,1.11,1.2,2.2,,,1.36,1.95,2.16,2.88,4.1,2.78,1.85,1.62,1.34,1.18,23,45,68,78,78,1.41,2.85,7.4,2.7,1.37,1.06,1.26,2.2,4.9,3.62,1.63,1.16,,,,,10,1.49,8.9,3.21,1.6,0.4,11,/ukraine/fk-chornomorets-odessa-vs-fc-minai-h2h-stats,09:00
1697889600,21.10.2023,Germany,3. Liga,Dynamo Dresden,Preußen Münster,3.0,1.4,3.0,1.4,2.7,50,90,80,60,30,10,70,50,90,40,9.4,4.6,60,50,50,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.57,3.8,4.75,1.2,1.62,2.65,4.33,1.62,2.2,1.71,1.64,0.0,0.0,10.0,4.33,2.2,1.45,1.2,1.15,1.2,2.1,,,1.2,1.39,1.7,2.2,3.0,3.9,2.65,1.95,1.55,1.32,10,20,40,70,90,1.3,2.4,5.45,3.25,1.51,1.12,1.17,1.8,3.5,4.5,1.87,1.26,,,,,20,1.38,8.0,4.0,2.27,1.45,12,/germany/sg-dynamo-dresden-vs-sc-preussen-06-munster-h2h-stats,09:00
1697896800,21.10.2023,England,EFL League One,Portsmouth,Carlisle United,2.43,0.83,2.43,0.83,2.24,54,93,69,38,24,0,62,31,86,31,12.0,5.4,85,77,61,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.62,3.8,5.0,1.25,1.84,3.1,6.0,1.95,1.8,1.65,1.17,0.0,0.0,13.0,3.75,1.96,1.36,1.12,1.12,1.17,2.55,,,1.18,1.34,1.61,2.02,2.7,4.5,3.1,2.23,1.74,1.44,7,31,62,77,100,1.36,2.63,7.0,3.0,1.44,1.1,1.2,2.0,4.33,4.33,1.73,1.2,,,,,31,1.37,9.5,3.69,2.33,0.85,14,/england/carlisle-united-fc-vs-portsmouth-fc-h2h-stats,11:00
1697896800,21.10.2023,England,National League,Bromley,Oxford City,2.29,0.57,2.29,0.57,3.22,57,93,86,57,43,22,86,43,79,50,9.0,4.57,72,58,29,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,3.9,5.0,1.22,1.73,2.95,5.0,1.75,2.0,1.65,1.26,0.0,0.0,9.0,4.0,2.03,1.38,1.14,1.15,1.17,2.05,,,1.29,1.48,1.75,2.2,2.8,3.3,2.5,1.95,1.6,1.38,7,14,43,57,79,1.33,2.63,6.5,3.25,1.44,1.11,1.2,1.91,4.0,4.33,1.8,1.22,,,,,15,1.4,9.5,3.35,1.73,0.93,16,/england/bromley-fc-vs-oxford-city-fc-h2h-stats,11:00
1697896800,21.10.2023,Azerbaijan,Premyer Liqası,Sabah,Sumqayıt,1.2,1.4,1.2,1.4,3.2,60,100,90,60,40,30,80,40,90,60,4.8,1.5,30,20,10,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.73,3.17,4.04,1.31,2.15,3.48,6.75,1.9,1.77,1.66,1.02,0.0,0.0,8.4,3.04,1.67,1.24,1.06,1.09,1.22,2.42,,,,,,,,,,,,,0,10,40,60,70,1.42,2.99,7.1,2.73,1.36,1.06,1.3,2.25,4.8,3.32,1.6,1.15,,,,,10,,,,0.88,1.38,10,/azerbaijan/fk-sumqayit-vs-sabah-fk-h2h-stats,11:00
1697900400,21.10.2023,Austria,Bundesliga,Salzburg,LASK Linz,2.25,1.0,2.25,1.0,2.38,38,100,88,38,13,0,63,38,88,25,9.5,4.0,75,50,13,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,4.33,5.5,1.2,1.6,2.55,4.53,1.7,2.05,1.82,1.31,0.0,0.0,17.25,4.63,2.2,1.52,1.21,1.15,1.21,2.4,,,1.25,1.47,1.85,2.4,3.4,3.5,2.4,1.95,1.47,1.26,0,13,63,88,100,1.29,2.38,5.5,3.5,1.53,1.14,1.17,1.8,3.5,5.0,1.91,1.29,,,,,0,1.34,9.5,3.86,2.3,1.8,11,/austria/fc-salzburg-vs-lask-linz-h2h-stats,12:00
1697900400,21.10.2023,Austria,Bundesliga,Sturm Graz,Hartberg,2.2,2.0,2.2,2.0,2.45,33,78,55,45,33,23,65,23,68,45,12.35,4.65,100,88,65,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.5,4.2,5.5,1.18,1.6,2.4,4.0,1.7,2.05,1.37,1.35,0.0,0.0,10.0,4.33,2.2,1.5,1.2,1.17,1.22,2.38,,,1.18,1.35,1.63,2.1,2.8,4.2,2.85,2.05,1.62,1.36,23,45,55,68,78,1.29,2.38,5.5,3.5,1.53,1.14,1.17,1.8,3.5,5.0,1.91,1.29,,,,,13,1.41,9.0,3.49,2.4,1.6,11,/austria/sk-sturm-graz-vs-tsv-hartberg-h2h-stats,12:00
1697922000,21.10.2023,Panama,LPF,Tauro,Árabe Unido,1.88,1.4,1.88,1.4,1.93,36,90,71,22,3,3,68,23,71,22,8.64,5.58,52,36,13,incomplete,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.73,3.1,4.75,1.44,2.45,,,,,1.38,0.95,0.0,0.0,,2.4,1.5,,,,,,,,,,,,,,,,,,10,29,78,97,97,,,,,,,,,,,,,,,,,10,,,,1.82,1.2,15,/panama/tauro-fc-vs-cd-arabe-unido-h2h-stats,18:00
