Date,Hora,Pais,Liga,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over15,FT_Odd_Over25,FT_Odd_Over35,FT_Odd_Over45,FT_Odd_BTTS_Yes,Odd_BTTS_No,FT_Odd_Under05,FT_Odd_Under15,FT_Odd_Under25,FT_Odd_Under35,FT_Odd_Under45,DC_1X,DC_12,DC_X2,HT_Odd_Over05,HT_Odd_Over15,Media_Gols,AVG_05HT,AVG_15FT,AVG_25FT,AVG_BTTS_Yes,XG_Home,XG_Away,PPG_Home,PPG_Away,Rodada,Elo_Home,Elo_Away,Prob_Home,Prob_Away,Juice,Real_Prob_Home,Real_Prob_Draw,Real_Prob_Away,Prob_Home_Odd,Prob_Draw_Odd,Prob_Odd_Away
07.02.2024,07:00,Thailand,Thai League 2,Kasetsart,Kanchanaburi,3.1,3.1,2.15,1.34,2.08,3.65,8.6,1.81,2.0,9.2,2.88,1.73,1.22,1.05,1.02,1.03,1.02,1.46,3.04,2.25,57,62,29,53,1.21,1.31,0.8,0.64,23,1269.8,1292.48,0.4956,0.5044,0.1103,0.29,0.29,0.42,0.32,0.32,0.47
07.02.2024,07:00,International,Club Friendlies 1,Vissel Kobe,Inter Miami,1.85,4.0,3.2,1.01,1.22,1.6,2.1,1.3,3.9,10.0,9.9,4.0,2.54,1.65,1.5,1.21,1.65,1.11,1.64,2.34,50,34,34,17,0.0,1.34,0.0,0.0,0,1350.9,1286.25,0.5123,0.4877,0.103,0.49,0.23,0.28,0.54,0.25,0.31
07.02.2024,08:00,Thailand,Thai League 2,Nong Bua Pitchaya,Ayutthaya United,1.73,3.5,4.0,1.26,1.85,3.08,7.0,1.8,2.08,10.0,3.34,1.95,1.3,1.05,1.18,1.22,1.86,1.36,2.73,2.95,64,69,46,60,1.59,1.28,2.36,1.73,23,1299.41,,,,0.1137,0.52,0.26,0.22,0.58,0.29,0.25
07.02.2024,08:00,Thailand,Thai League 2,Lampang,Phrae United,2.2,3.0,3.1,1.41,2.08,4.25,9.6,1.78,1.88,8.4,2.6,1.73,1.16,1.05,1.02,1.03,1.02,1.49,3.34,2.7,55,70,60,60,1.54,1.35,2.0,1.0,23,1300.76,,,,0.1105,0.41,0.3,0.29,0.45,0.33,0.32
07.02.2024,08:00,Thailand,Thai League 2,Krabi,Chiangmai,4.2,3.5,1.7,1.4,2.0,3.9,9.2,1.91,1.9,9.0,2.75,1.8,1.21,1.05,1.02,1.03,1.02,1.45,3.0,1.54,43,43,20,29,1.11,1.17,0.45,1.0,23,1278.14,,,,0.112,0.21,0.26,0.53,0.24,0.29,0.59
07.02.2024,08:00,Finland,League Cup,Inter Turku,Gnistan,1.41,4.2,5.8,1.2,1.7,2.71,4.9,1.91,1.8,11.5,3.84,2.02,1.38,1.13,1.07,1.16,2.71,1.3,2.3,3.25,100,100,75,75,1.74,0.0,1.5,0.0,3,1295.32,1307.14,0.4977,0.5023,0.1197,0.63,0.21,0.15,0.71,0.24,0.17
07.02.2024,08:30,Thailand,Thai League 2,Chanthaburi,Chiangmai United,2.25,2.9,3.1,1.33,2.25,3.64,8.4,1.92,1.94,9.4,2.93,1.62,1.22,1.05,1.02,1.03,1.02,1.48,3.04,2.47,61,81,43,67,1.84,1.37,1.6,1.0,23,1293.18,,,,0.1119,0.4,0.31,0.29,0.44,0.34,0.32
07.02.2024,08:30,Thailand,Thai League 2,Rayong,Nakhon Ratchasima,2.1,3.0,3.25,1.41,2.1,4.25,9.6,1.81,2.02,8.4,2.6,1.7,1.16,1.04,1.02,1.03,1.02,1.5,3.34,2.54,88,71,42,55,1.79,1.35,2.0,1.58,23,,,,,0.1172,0.43,0.3,0.28,0.48,0.33,0.31
07.02.2024,08:30,Turkey,Turkish Cup,Sivasspor,Konyaspor,1.92,3.16,2.84,1.33,1.83,3.6,7.5,1.8,1.91,11.0,3.6,1.84,1.33,1.12,1.38,1.33,1.75,1.38,2.85,3.5,67,100,100,50,2.19,0.0,3.0,3.0,0,1264.5,1296.74,0.4937,0.5063,0.1894,0.44,0.27,0.3,0.52,0.32,0.35
07.02.2024,09:00,Germany,U19 Bundesliga,Union Berlin U19,Hertha BSC U19,2.83,3.24,2.05,1.16,1.6,2.08,4.15,1.49,2.38,13.0,4.35,2.2,1.67,1.17,1.02,1.03,1.02,1.3,2.32,3.72,86,86,79,79,2.01,1.73,3.0,2.29,16,,,,,0.1498,0.31,0.27,0.42,0.35,0.31,0.49
