País,Hora,Home,Away,GP_H,GP_A,Vitoria_H,Vitoria_A,Over25_H,Over25_A,BTTS_H,BTTS_A,GolsMarcados_H,GolsSofridos_H,GolsMarcados_A,GolsSofridos_A,MediaGols_H,MediaGols_A,PPG_H,PPG_A
IRA,06:30:00,Mes Shahr Babak,Fajr Sepasi,6.0,6.0,25.0,0.0,50.0,50.0,50.0,25.0,1.5,0.83,0.83,1.17,2.33,2.0,1.83,0.83
IRA,06:30:00,Chadormalu SC,Mes Kerman,6.0,6.0,33.0,25.0,33.0,50.0,33.0,50.0,1.33,1.0,1.33,1.0,2.33,2.33,1.67,1.67
IRA,06:30:00,Ario Eslamshahr,S. Astara,6.0,6.0,67.0,50.0,33.0,33.0,67.0,75.0,0.5,0.83,0.67,1.67,1.33,2.33,0.67,0.5
IRA,06:30:00,K. Khorramabad,Khalij Fars,6.0,6.0,62.0,50.0,33.0,50.0,38.0,75.0,1.83,0.33,0.67,2.5,2.17,3.17,3.0,0.17
POL,07:00:00,Lech Poznan B,Olimpia Elblag,9.0,7.0,50.0,50.0,67.0,43.0,50.0,0.0,1.22,2.11,0.86,1.43,3.33,2.29,1.44,0.71
IRA,07:00:00,Shahre Raz,Saipa,6.0,6.0,71.0,0.0,17.0,17.0,47.0,88.0,1.0,0.5,0.83,0.83,1.5,1.67,1.67,1.0
IRA,07:00:00,E. Mollasani,Darya Babol,6.0,6.0,24.0,41.0,0.0,17.0,41.0,41.0,1.17,0.0,0.33,1.17,1.17,1.5,2.33,0.5
NOR,08:00:00,Gostivar,Shkupi,7.0,7.0,67.0,67.0,57.0,43.0,67.0,67.0,1.29,1.29,1.0,1.14,2.57,2.14,1.57,1.29
NOR,08:00:00,Makedonija,Sileks,7.0,7.0,67.0,33.0,29.0,43.0,0.0,67.0,0.86,0.71,1.0,1.43,1.57,2.43,1.57,0.86
NOR,08:00:00,Vardar,Struga,7.0,7.0,80.0,17.0,43.0,57.0,40.0,83.0,0.86,1.43,1.29,1.14,2.29,2.43,1.0,1.29
NOR,08:00:00,A. Pandev,Bregalnica Stip,7.0,7.0,59.0,24.0,14.0,14.0,35.0,41.0,1.14,0.43,0.14,1.29,1.57,1.43,2.0,0.14
NOR,08:00:00,Voska Sport,Tikves,7.0,7.0,29.0,0.0,43.0,29.0,71.0,43.0,1.43,1.29,0.71,1.29,2.71,2.0,1.43,0.57
SER,08:00:00,Mladost Novi S.,Smederevo,8.0,8.0,50.0,29.0,25.0,38.0,67.0,57.0,0.75,1.25,0.88,0.88,2.0,1.75,0.5,1.25
SAU,08:20:00,Al Jabalain,Al-Jndal,5.0,5.0,30.0,30.0,60.0,60.0,50.0,70.0,2.0,0.8,0.6,2.0,2.8,2.6,2.6,0.8
SAU,08:20:00,Al Orubah,Al Najma,5.0,5.0,57.0,33.0,60.0,80.0,71.0,83.0,2.4,0.4,2.2,1.8,2.8,4.0,3.0,1.0
RWA,09:00:00,Sunrise,APR,4.0,4.0,30.0,30.0,25.0,75.0,20.0,30.0,0.75,0.75,2.0,0.75,1.5,2.75,1.5,2.5
TAN,09:00:00,T. Prisons,Dodoma Jiji,5.0,5.0,40.0,20.0,40.0,60.0,60.0,80.0,1.0,1.4,1.2,1.4,2.4,2.6,1.0,1.4
SAU,10:30:00,Al Adalh,Al Batin,4.0,5.0,29.0,0.0,75.0,20.0,43.0,86.0,2.5,1.25,0.4,0.8,3.75,1.2,3.0,0.8
IND,10:30:00,Kerala Blasters,Chennaiyin,5.0,3.0,75.0,0.0,40.0,33.0,50.0,33.0,1.4,0.6,0.33,1.67,2.0,2.0,2.6,1.0
GRE,11:00:00,Volos,Panserraikos,5.0,7.0,67.0,0.0,80.0,43.0,0.0,67.0,1.4,2.0,0.86,2.71,3.4,3.57,0.8,0.43
POL,12:00:00,SKRA Czestochow,Hutnik Krakow,9.0,8.0,0.0,33.0,44.0,38.0,50.0,0.0,1.56,0.78,1.13,1.38,2.33,2.5,1.89,1.25
SOU,13:30:00,SuperSport Utd,Mamelodi S.,5.0,5.0,20.0,20.0,40.0,20.0,0.0,20.0,1.4,0.8,1.6,0.2,2.2,1.8,2.4,3.0
GER,14:00:00,Fulda-Lehnerz,VfB Stuttgart B,9.0,9.0,67.0,25.0,56.0,89.0,33.0,50.0,2.56,0.89,2.22,1.56,3.44,3.78,2.44,1.67
GER,14:00:00,Saarbrucken,MSV Duisburg,7.0,7.0,50.0,0.0,43.0,14.0,0.0,33.0,1.71,1.43,0.43,1.29,3.14,1.71,1.57,0.43
LUX,15:00:00,Marisca Mersch,Jeunesse Esch,5.0,6.0,71.0,24.0,60.0,33.0,47.0,47.0,1.4,1.4,1.17,1.17,2.8,2.33,1.2,1.33
LUX,15:00:00,Mondorf,V. Rosport,5.0,5.0,24.0,24.0,80.0,60.0,29.0,47.0,2.6,2.0,1.8,1.6,4.6,3.4,1.8,1.6
SPA,15:00:00,Recreativo H.,Alcoyano,6.0,6.0,100.0,20.0,33.0,17.0,0.0,20.0,1.0,0.83,0.33,0.83,1.83,1.17,1.83,0.83
PAR,18:30:00,S. Trinidense,Guairena,10.0,10.0,0.0,50.0,50.0,40.0,0.0,50.0,1.1,1.8,1.0,1.5,2.9,2.5,0.8,0.9
PAR,18:30:00,Libertad,Tacuary,10.0,10.0,50.0,0.0,40.0,50.0,50.0,60.0,2.0,0.6,1.2,1.3,2.6,2.5,2.1,1.3
