team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
KS Skënderbeu Korçë,Skënderbeu Korçë,2022/2023,Albania,26,13,13,0,13,9,4,11,3,8,2,1,1,1.92,2.31,1.54,1,2,2,1,37,12,25,49,33,16,26,11,7,5,19,6,63,45,106,196,167,237,15,6,9,10,6,4,8,2,6,15,11,4,40,22,18,4,0,4,50,50,50,87,33,54,33,16,17,54,17,37,9,0,9,16,11,5,5,2,3,11,9,2,11,8,3,13,4,9,2,1,1,1.77,2.15,1.38,1.88,2.54,1.23,1.42,2,0.85,0.46,0.54,0.38,0.81,1,0.62,0.62,0.85,0.38,0.19,0.15,0.23,19,15,8,4,3,0,12,10,5,3,3,0,7,5,3,1,0,0,7,11,18,22,23,26,1,3,8,10,10,13,6,8,10,12,13,13,73,58,31,15,12,0,92,77,38,23,23,0,54,38,23,8,0,0,27,42,69,85,88,100,8,23,62,77,77,100,46,62,77,92,100,100,15,5,1,9,3,1,6,2,0,58,19,4,69,23,8,46,15,0,50,69,31,12,58,46,69,38,46,31,31,15,46,58,85,31,21,11,10,81,85,77,13,5,8,50,38,62,3,1,2,12,8,15,42,62,23,50,31,69,8,8,8,4.44,7.33,3.00,2,0,2.00,33,22,22,22,11,11,0,0,1.56,2.39,1.29,1.07,1.04,1.08,46,2,4,2,3,8,6,4,1,7,2,0,0,2,1,3,0,3,1,42,23,62,8,8,8,0
Flamurtari FC,Flamurtari,2022/2023,Albania,28,15,13,0,13,7,6,8,4,4,7,4,3,1.68,1.67,1.69,3,8,1,3,42,19,23,61,33,28,22,20,11,8,11,12,60,61,58,132,123,145,13,7,6,10,6,4,8,3,5,13,7,6,34,9,25,0,0,0,51,50,52,85,14,71,40,5,35,45,9,36,13,0,13,16,8,8,5,3,2,11,5,6,9,4,5,14,7,7,2,1,1,1.64,1.58,1.69,2.18,2.2,2.15,1.5,1.47,1.54,0.68,0.73,0.62,0.84,0.92,0.77,0.64,0.67,0.62,0.2,0.25,0.15,25,18,11,4,2,1,14,10,7,2,0,0,11,8,4,2,2,1,3,10,17,24,26,27,1,5,8,13,15,15,2,5,9,11,11,12,89,64,39,14,7,4,93,67,47,13,0,0,85,62,31,15,15,8,11,36,61,86,93,96,7,33,53,87,100,100,15,38,69,85,85,92,13,6,1,7,4,0,6,2,1,52,24,4,58,33,0,46,15,8,46,47,46,-5,46,47,46,36,40,31,29,20,38,46,47,46,20,9,11,80,75,85,14,6,8,56,50,62,3,2,1,12,17,8,36,33,38,56,58,54,8,8,8,3.78,4.50,3.57,0,0,0.00,67,67,44,22,22,22,0,0,1.61,1.25,1.72,1.11,0.82,1.20,50,3,1,5,5,2,7,3,3,8,0,0,2,1,2,3,1,5,4,29,27,31,25,27,23,0
KS Lushnja,Lushnja,2022/2023,Albania,26,13,13,0,8,7,1,7,5,2,11,1,10,1.19,2,0.38,10,7,14,10,29,42,-13,71,31,40,19,10,12,30,7,-20,80,62,117,56,98,39,5,4,1,13,8,5,10,3,7,8,7,1,25,16,9,0,0,0,50,50,50,61,22,39,28,12,16,33,10,23,36,36,0,8,6,2,18,7,11,-10,-1,-9,3,3,0,10,7,3,8,3,5,0.9,1.23,0.38,2.73,2.38,3.08,1.12,1.46,0.77,1.62,0.92,2.31,1.24,1,1.63,0.38,0.46,0.25,0.86,0.54,1.38,24,20,14,7,5,1,11,9,6,3,2,0,13,11,8,4,3,1,2,6,12,19,21,25,2,4,7,10,11,13,0,2,5,9,10,12,92,77,54,27,19,4,85,69,46,23,15,0,100,85,62,31,23,8,8,23,46,73,81,96,15,31,54,77,85,100,0,15,38,69,77,92,14,7,3,8,3,1,6,4,2,67,33,14,62,23,8,75,50,25,31,54,8,37,19,31,8,50,62,38,38,23,54,31,54,8,10,8,2,48,62,25,14,8,6,67,62,75,4,2,2,19,15,25,14,23,0,48,54,38,38,23,63,2.78,4.00,1.80,0,0,0.00,44,33,33,22,0,0,0,0,0.97,0.92,1.01,1.87,1.60,2.08,115,0,1,2,3,4,2,1,1,7,3,4,1,2,9,2,3,2,6,27,38,15,42,8,77,0
KS Korabi Peshkopi,Korabi Peshkopi,2022/2023,Albania,28,13,15,0,12,9,3,9,4,5,7,0,7,1.61,2.38,0.93,5,1,6,4,35,25,10,60,28,32,22,13,6,19,16,-6,72,53,103,101,196,71,10,8,2,14,5,9,6,2,4,17,10,7,26,24,2,0,0,0,50,50,50,61,52,9,29,24,5,32,28,4,0,0,0,15,10,5,8,3,5,7,7,0,8,5,3,15,7,8,3,0,3,1.5,1.83,1.21,2.14,2.15,2.13,1.25,1.69,0.87,0.89,0.46,1.27,0.88,1.08,0.71,0.58,0.83,0.36,0.31,0.25,0.36,26,18,10,4,2,0,11,8,6,2,1,0,15,10,4,2,1,0,2,10,18,24,26,28,2,5,7,11,12,13,0,5,11,13,14,15,93,64,36,14,7,0,85,62,46,15,8,0,100,67,27,13,7,0,7,36,64,86,93,100,15,38,54,85,92,100,0,33,73,87,93,100,14,6,2,7,4,1,7,2,1,54,23,8,58,33,8,50,14,7,43,69,20,42,36,62,13,50,38,60,21,15,27,61,77,47,19,9,10,73,75,71,14,5,9,54,42,64,5,3,2,19,25,14,31,42,21,58,58,57,12,0,21,3.25,4.00,1.00,0,0,0.00,63,63,25,13,13,13,0,0,1.20,1.37,0.77,1.28,1.20,1.49,61,3,3,2,2,5,3,1,6,6,1,0,2,3,5,5,1,3,2,32,31,33,25,0,47,0
KF Apolonia Fier,Apolonia Fier,2022/2023,Albania,27,13,14,0,10,8,2,9,2,7,8,3,5,1.44,2,0.93,7,6,8,6,32,31,1,63,29,34,19,13,10,21,9,-8,76,62,97,78,117,60,8,6,2,15,5,10,7,3,4,13,8,5,18,11,7,0,0,0,50,50,50,40,17,23,19,8,11,21,9,12,0,0,0,12,7,5,9,3,6,3,4,-1,4,2,2,16,9,7,4,1,3,1.17,1.25,1.08,2.33,2.23,2.43,1.19,1.46,0.93,1.15,0.77,1.5,0.88,0.83,0.92,0.5,0.58,0.42,0.38,0.25,0.5,24,17,11,6,3,1,12,6,5,3,1,1,12,11,6,3,2,0,3,10,16,21,24,26,1,7,8,10,12,12,2,3,8,11,12,14,89,63,41,22,11,4,92,46,38,23,8,8,86,79,43,21,14,0,11,37,59,78,89,96,8,54,62,77,92,92,14,21,57,79,86,100,11,6,3,3,3,3,8,3,0,46,25,13,25,25,25,67,25,0,37,62,14,28,30,46,14,56,38,71,26,23,29,48,62,36,16,10,6,67,83,50,16,9,7,67,75,58,5,2,3,21,17,25,17,17,17,67,75,58,17,8,25,3.00,5.50,1.75,0,0,0.00,50,33,33,17,17,17,0,0,1.28,1.31,1.26,1.58,1.35,1.73,70,3,2,4,3,0,1,3,6,4,1,1,1,3,5,5,4,3,6,33,15,50,30,23,36,0
KS Besa Kavajë,Besa Kavajë,2022/2023,Albania,26,13,13,0,10,6,4,7,4,3,9,3,6,1.42,1.69,1.15,8,10,5,8,32,26,6,58,28,30,18,14,10,16,8,-2,73,65,83,90,117,73,11,7,4,9,4,5,10,5,5,12,6,6,20,18,2,0,0,0,50,50,50,73,60,13,31,26,5,42,34,8,0,0,0,15,7,8,12,4,8,3,3,0,8,4,4,9,5,4,8,3,5,1.32,1.42,1.23,2.23,2.15,2.31,1.23,1.38,1.08,1,0.77,1.23,1.08,0.92,1.23,0.6,0.58,0.62,0.48,0.33,0.62,22,14,10,5,4,3,10,8,5,2,2,1,12,6,5,3,2,2,4,12,16,21,22,23,3,5,8,11,11,12,1,7,8,10,11,11,85,54,38,19,15,12,77,62,38,15,15,8,92,46,38,23,15,15,15,46,62,81,85,88,23,38,62,85,85,92,8,54,62,77,85,85,17,6,3,7,2,1,10,4,2,68,24,12,58,17,8,77,31,15,38,46,31,18,42,54,31,35,31,38,38,38,38,46,46,46,16,9,7,64,75,54,15,8,7,60,67,54,2,0,2,8,0,15,32,33,31,36,42,31,32,25,38,2.50,3.00,1.00,0,0,0.00,63,50,38,0,0,0,0,0,1.43,1.52,1.14,1.54,1.46,1.78,69,4,1,5,4,1,2,5,2,5,2,3,2,4,2,4,2,1,6,27,31,23,35,23,46,0
KS Tërbuni Pukë,Tërbuni Pukë,2022/2023,Albania,26,13,13,0,6,4,2,6,4,2,14,5,9,0.92,1.23,0.62,13,13,9,13,16,41,-25,57,27,30,10,6,17,24,-7,-18,145,117,196,57,69,49,5,3,2,9,6,3,14,5,9,5,4,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,9,4,5,-4,0,-4,2,1,1,11,8,3,5,1,4,0.94,1.1,0.75,2.19,2.08,2.31,0.62,0.77,0.46,1.58,1.31,1.85,0.78,0.8,0.75,0.28,0.4,0.13,0.5,0.4,0.63,24,18,13,1,1,0,12,9,6,0,0,0,12,9,7,1,1,0,2,8,13,25,25,26,1,4,7,13,13,13,1,4,6,12,12,13,92,69,50,4,4,0,92,69,46,0,0,0,92,69,54,8,8,0,8,31,50,96,96,100,8,31,54,100,100,100,8,31,46,92,92,100,9,4,1,4,3,1,5,1,0,50,22,6,40,30,10,63,13,0,23,31,15,21,19,23,15,35,46,23,54,38,69,19,31,8,10,6,4,56,60,50,14,7,7,78,70,88,3,3,0,17,30,0,11,10,13,61,80,38,28,10,50,0.00,0.00,0.00,6,6,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,100,0,1,3,1,0,1,0,4,2,2,2,1,3,1,1,1,3,5,23,31,15,54,38,69,0
KS Burreli,Burreli,2022/2023,Albania,26,13,13,0,8,7,1,9,6,3,9,0,9,1.27,2.08,0.46,9,4,12,9,22,28,-6,50,18,32,14,8,4,24,10,-16,106,83,145,83,290,49,10,9,1,11,4,7,9,3,6,13,9,4,20,8,12,0,0,0,50,50,50,61,35,26,20,13,7,41,22,19,0,0,0,11,6,5,13,2,11,-2,4,-6,7,4,3,10,7,3,8,1,7,1.24,1.58,0.92,1.92,1.38,2.46,0.85,1.08,0.62,1.08,0.31,1.85,0.96,0.67,1.23,0.44,0.5,0.38,0.52,0.17,0.85,22,14,8,3,3,0,10,5,1,1,1,0,12,9,7,2,2,0,4,12,18,23,23,26,3,8,12,12,12,13,1,4,6,11,11,13,85,54,31,12,12,0,77,38,8,8,8,0,92,69,54,15,15,0,15,46,69,88,88,100,23,62,92,92,92,100,8,31,46,85,85,100,16,5,2,5,1,1,11,4,1,64,20,8,42,8,8,85,31,8,31,54,8,49,38,69,8,42,31,54,35,23,46,50,69,31,15,10,5,60,83,38,16,8,8,64,67,62,3,1,2,12,8,15,28,33,23,40,58,23,32,8,54,2.86,2.67,3.00,0,0,0.00,43,28,28,14,14,14,0,0,1.39,1.56,1.23,1.27,1.06,1.48,50,1,4,0,3,4,3,4,1,1,1,0,3,6,4,2,4,3,5,35,46,23,35,0,69,0
KS Dinamo Tirana,Dinamo Tirana,2022/2023,Albania,26,13,13,0,14,9,5,5,1,4,7,3,4,1.81,2.15,1.46,2,3,3,2,48,23,25,71,40,31,29,19,11,12,18,7,49,40,62,102,106,98,12,8,4,10,4,6,5,1,4,15,9,6,78,70,8,0,0,0,50,50,50,143,119,24,67,54,13,76,65,11,0,0,0,22,13,9,10,5,5,12,8,4,10,6,4,9,4,5,4,2,2,1.7,1.83,1.55,2.73,3.08,2.38,1.85,2.23,1.46,0.88,0.85,0.92,1.39,1.5,1.27,0.96,1.08,0.82,0.43,0.42,0.45,25,18,12,9,5,2,13,10,7,5,4,1,12,8,5,4,1,1,1,8,14,17,21,24,0,3,6,8,9,12,1,5,8,9,12,12,96,69,46,35,19,8,100,77,54,38,31,8,92,62,38,31,8,8,4,31,54,65,81,92,0,23,46,62,69,92,8,38,62,69,92,92,16,10,4,9,6,2,7,4,2,70,43,17,75,50,17,64,36,18,54,69,38,12,46,62,31,38,31,46,19,8,31,58,69,46,15,9,6,65,75,55,10,4,6,43,33,55,5,2,3,22,17,27,43,50,36,39,33,45,17,17,18,5.57,6.36,2.67,0,0,0.00,56,50,43,28,28,28,21,7,1.84,1.95,1.44,1.06,1.05,1.10,62,3,2,2,8,7,4,3,5,9,2,1,2,1,4,1,3,1,6,19,8,31,27,23,31,0
KS Turbina Cërrik,Turbina Cërrik,2022/2023,Albania,26,13,13,0,7,5,2,5,4,1,14,4,10,1,1.46,0.54,12,12,11,12,24,45,-21,69,33,36,15,9,18,27,-3,-18,98,78,130,52,65,43,8,5,3,10,6,4,10,3,7,6,5,1,25,5,20,1,0,1,50,50,50,32,15,17,13,5,8,19,10,9,0,0,0,6,4,2,23,7,16,-17,-3,-14,3,3,0,6,3,3,13,5,8,0.68,1.09,0.27,2.65,2.54,2.77,0.92,1.15,0.69,1.73,1.38,2.08,1.32,1,1.64,0.27,0.36,0.18,1.05,0.64,1.45,24,18,13,6,4,3,12,9,7,3,1,1,12,9,6,3,3,2,2,8,13,20,22,23,1,4,6,10,12,12,1,4,7,10,10,11,92,69,50,23,15,12,92,69,54,23,8,8,92,69,46,23,23,15,8,31,50,77,85,88,8,31,46,77,92,92,8,31,54,77,77,85,16,6,4,8,2,1,8,4,3,73,27,18,73,18,9,73,36,27,27,38,15,23,31,38,23,38,46,31,38,23,54,23,38,8,9,6,3,41,55,27,17,8,9,77,73,82,2,0,2,9,0,18,14,27,0,27,27,27,59,45,73,4.17,2.50,5.00,1,0,1.00,67,50,50,33,17,17,0,0,0.93,0.97,0.91,1.67,2.04,1.49,85,0,2,1,2,3,4,1,2,4,3,5,6,6,4,3,5,5,5,19,31,8,54,31,77,0
