timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1660921200,Aug 19 2022 - 3:00pm,complete,N/A,Kukësi,Tirana,Enea Jorgji,1,0.00,0.00,1.39,1.89,1,1,2,1,1,0,"3","56",3,5,3,1,2,0,1,3,0,2,4,24,3,10,1,14,7,12,38,62,0.00,0.00,0.74,2.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.43,3.07,2.43,1.23,1.89,2.80,5.00,1.63,2.22,Kukës Arena (Kukës)
1661007600,Aug 20 2022 - 3:00pm,complete,N/A,Erzeni Shijak,Vllaznia Shkodër,Kreshnik Cjapi,1,0.00,0.00,1.17,1.17,1,0,1,1,1,0,"22","",0,9,3,0,2,0,1,2,1,1,10,12,5,4,5,8,17,13,36,64,0.00,0.00,1.18,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.15,2.41,1.42,2.30,4.10,7.90,2.00,1.77,Stadiumi Niko Dovana (Durrës)
1661016600,Aug 20 2022 - 5:30pm,complete,N/A,Partizani Tirana,Egnatia Rrogozhinë,Eldorjan Hamiti,1,0.00,0.00,1.94,1.56,2,1,3,1,0,1,"56,90'8","32",3,2,3,0,4,0,3,0,3,1,9,13,4,5,5,8,-1,-1,50,50,0.00,0.00,1.24,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.50,3.75,5.50,1.35,2.10,3.50,6.70,2.10,1.70,Elbasan Arena (Elbasan)
1661094000,Aug 21 2022 - 3:00pm,complete,N/A,Laçi,Teuta Durrës,Juxhin Xhaja,1,0.00,0.00,1.44,1.06,3,1,4,1,1,0,"12,52,57","66",3,3,0,0,1,0,0,0,0,1,12,4,5,2,7,2,16,22,56,44,0.00,0.00,1.69,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.25,4.82,1.38,2.11,3.87,7.15,2.20,1.64,Stadiumi Laçi (Laç)
1661094000,Aug 21 2022 - 3:00pm,complete,N/A,Bylis Ballsh,Kastrioti Krujë,N/A,1,0.00,0.00,1.06,0.56,2,0,2,0,0,0,"67,69","",-1,-1,4,0,3,0,1,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadiumi Adush Muça (Ballsh)
1661612400,Aug 27 2022 - 3:00pm,complete,N/A,Kastrioti Krujë,Erzeni Shijak,Erjon Bastari,2,0.00,0.00,1.39,1.06,0,0,0,0,0,0,"","",3,1,2,0,1,0,2,0,0,1,4,4,3,0,1,4,15,20,58,42,0.00,0.00,0.59,0.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.26,3.28,2.49,1.43,2.26,4.22,7.70,2.05,1.70,Stadiumi Kamza (Kamëz)
1661612400,Aug 27 2022 - 3:00pm,complete,N/A,Teuta Durrës,Bylis Ballsh,Indrit Myrtja,2,0.00,0.00,1.61,1.06,1,1,2,1,0,1,"78","42",-1,-1,0,0,4,0,0,0,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.24,2.46,1.42,2.11,4.15,7.60,2.00,1.77,Stadiumi Niko Dovana (Durrës)
1661698800,Aug 28 2022 - 3:00pm,complete,N/A,Egnatia Rrogozhinë,Tirana,Laver Alla,2,0.00,1.00,1.33,1.89,0,2,2,1,0,1,"","14,54",8,1,2,0,1,0,1,1,0,1,12,4,4,3,8,1,16,8,60,40,0.00,2.73,1.75,0.84,1.00,50,50,0,0,0,0,50,0,50,5.00,2.00,3.64,3.30,1.94,1.38,2.18,3.80,7.30,1.98,1.78,Arena Egnatia (Rrogozhinë)
1661707800,Aug 28 2022 - 5:30pm,complete,N/A,Vllaznia Shkodër,Kukësi,Kridens Meta,2,0.00,0.00,1.61,1.11,2,1,3,1,1,0,"27,90'6","56",6,3,1,0,4,0,0,1,1,3,16,7,6,4,10,3,9,16,50,50,0.00,0.00,1.87,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.24,3.10,3.14,1.34,2.07,3.57,6.65,1.87,1.89,Stadiumi Loro Boriçi (Shkodër)
1661794200,Aug 29 2022 - 5:30pm,complete,N/A,Partizani Tirana,Laçi,Klodian Shahini,2,3.00,0.00,1.94,1.22,1,0,1,1,1,0,"45","",11,3,2,0,0,0,2,0,0,0,11,7,4,0,7,7,19,9,55,45,1.24,0.00,1.72,1.02,1.50,50,50,50,0,0,0,50,50,50,3.00,3.00,1.91,3.20,3.60,1.42,2.29,4.50,8.00,2.10,1.70,Elbasan Arena (Elbasan)
1662127200,Sep 02 2022 - 2:00pm,complete,N/A,Tirana,Vllaznia Shkodër,Enea Jorgji,3,0.00,0.00,1.83,1.17,1,2,3,2,0,2,"47","22,29",6,4,3,1,4,1,2,2,2,3,20,4,7,3,13,1,14,11,46,54,0.00,1.45,2.36,0.92,0.50,0,0,0,0,0,0,50,0,0,9.00,2.00,1.95,3.20,3.40,1.36,2.15,3.60,7.00,1.95,1.81,Stadiumi Selman Stërmasi (Tiranë (Tirana))
