team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
KF Partizani Tirana,Partizani Tirana,2022/2023,Albania,36,18,18,0,20,11,9,7,2,5,9,5,4,1.86,1.94,1.78,2,1,2,2,56,37,19,93,45,48,28,28,17,20,11,8,58,58,58,87,96,81,9,5,4,21,10,11,7,4,3,24,12,12,159,93,66,18,11,7,53,54,51,334,197,137,149,93,56,185,104,81,223,129,94,29,16,13,18,8,10,11,8,3,16,9,7,12,5,7,8,4,4,1.67,1.78,1.56,2.58,2.5,2.67,1.56,1.56,1.56,1.03,0.94,1.11,1.31,1.33,1.28,0.81,0.89,0.72,0.5,0.44,0.56,35,28,18,6,5,1,17,15,10,2,1,0,18,13,8,4,4,1,1,8,18,30,31,35,1,3,8,16,17,18,0,5,10,14,14,17,97,78,50,17,14,3,94,83,56,11,6,0,100,72,44,22,22,6,3,22,50,83,86,97,6,17,44,89,94,100,0,28,56,78,78,94,29,12,4,15,6,2,14,6,2,81,33,11,83,33,11,78,33,11,56,61,50,5,25,28,22,58,56,61,19,22,17,67,67,67,19,10,9,53,56,50,15,7,8,42,39,44,9,4,5,25,22,28,44,50,39,33,28,39,22,22,22,5.30,5.47,5.08,0.78,0.85,0.70,87,77,60,43,40,27,23,17,1.67,1.72,1.60,1.31,1.26,1.38,53,4,6,8,7,6,8,4,7,6,4,3,1,4,8,1,6,3,7,19,11,28,25,28,22,7
KS Kukësi,Kukësi,2022/2023,Albania,36,18,18,0,12,7,5,9,4,5,15,7,8,1.25,1.39,1.11,7,6,6,7,31,35,-4,66,28,38,15,16,13,22,2,-6,105,108,101,93,125,74,15,10,5,13,3,10,13,8,5,13,9,4,108,50,58,26,7,19,50,49,51,300,165,135,127,66,61,173,99,74,139,71,68,10,5,5,18,4,14,-8,1,-9,7,5,2,16,9,7,13,4,9,1.03,1.33,0.72,1.83,1.56,2.11,0.86,0.83,0.89,0.97,0.72,1.22,0.78,0.5,1.06,0.28,0.28,0.28,0.5,0.22,0.78,31,21,11,2,1,0,15,9,4,0,0,0,16,12,7,2,1,0,5,15,25,34,35,36,3,9,14,18,18,18,2,6,11,16,17,18,86,58,31,6,3,0,83,50,22,0,0,0,89,67,39,11,6,0,14,42,69,94,97,100,17,50,78,100,100,100,11,33,61,89,94,100,22,5,1,9,0,0,13,5,1,61,14,3,50,0,0,72,28,6,33,39,28,12,42,56,28,36,17,56,36,44,28,36,50,22,21,14,7,58,78,39,26,13,13,72,72,72,3,0,3,8,0,17,19,28,11,44,50,39,36,22,50,3.48,3.33,3.63,1.3,0.7,1.90,65,55,35,26,23,16,6,3,1.22,1.32,1.13,1.54,1.51,1.58,31,2,2,3,2,3,7,4,2,6,1,2,8,1,7,2,4,2,8,25,22,28,42,39,44,0
KF Laçi,Laçi,2022/2023,Albania,36,18,18,0,14,8,6,6,2,4,16,8,8,1.33,1.44,1.22,5,5,4,5,45,46,-1,91,47,44,26,19,21,25,5,-6,72,63,85,70,77,65,8,4,4,18,9,9,10,5,5,16,10,6,132,82,50,22,6,16,50,51,49,275,141,134,127,67,60,148,74,74,119,47,72,19,14,5,18,8,10,1,6,-5,10,7,3,18,8,10,8,3,5,1.33,1.61,1.06,2.53,2.61,2.44,1.25,1.44,1.06,1.28,1.17,1.39,1.03,1.22,0.83,0.53,0.78,0.28,0.5,0.44,0.56,36,23,15,8,6,2,18,11,8,5,3,1,18,12,7,3,3,1,0,13,21,28,30,34,0,7,10,13,15,17,0,6,11,15,15,17,100,64,42,22,17,6,100,61,44,28,17,6,100,67,39,17,17,6,0,36,58,78,83,94,0,39,56,72,83,94,0,33,61,83,83,94,23,10,3,14,6,1,9,4,2,64,28,8,78,33,6,50,22,11,39,44,33,12,22,22,22,50,50,50,28,28,28,44,56,33,23,11,12,64,61,67,20,7,13,56,39,72,6,4,2,17,22,11,28,39,17,50,44,56,22,17,28,4.71,5.86,3.57,1.47,1,1.78,75,56,50,50,39,36,25,18,1.52,1.59,1.46,1.60,1.55,1.64,42,2,4,6,3,7,4,7,5,7,1,5,4,4,8,5,7,4,8,17,11,22,44,44,44,0
KS Teuta Durrës,Teuta Durrës,2022/2023,Albania,36,18,18,0,12,8,4,12,5,7,12,5,7,1.33,1.61,1.06,6,4,7,6,33,40,-7,73,32,41,17,16,15,25,2,-9,98,96,101,81,108,65,16,9,7,14,7,7,12,4,8,15,9,6,120,75,45,18,6,12,48,49,47,272,175,97,116,69,47,156,106,50,169,97,72,14,6,8,18,6,12,-4,0,-4,7,4,3,20,11,9,9,3,6,1.14,1.28,1,2.03,1.78,2.28,0.92,0.94,0.89,1.11,0.83,1.39,0.89,0.67,1.11,0.39,0.33,0.44,0.5,0.33,0.67,30,22,11,6,2,1,16,10,4,1,1,0,14,12,7,5,1,1,6,14,25,30,34,35,2,8,14,17,17,18,4,6,11,13,17,17,83,61,31,17,6,3,89,56,22,6,6,0,78,67,39,28,6,6,17,39,69,83,94,97,11,44,78,94,94,100,22,33,61,72,94,94,20,7,3,8,2,1,12,5,2,56,19,8,44,11,6,67,28,11,33,44,22,14,44,50,39,39,39,39,33,22,44,42,50,33,23,14,9,64,78,50,23,12,11,64,67,61,6,2,4,17,11,22,19,22,17,56,61,50,25,17,33,4.14,4.69,3.46,1.06,0.6,1.71,83,59,38,28,17,3,3,3,1.25,1.42,1.05,1.63,1.43,1.87,47,3,5,2,3,2,1,9,6,2,3,4,6,2,4,6,4,5,6,33,28,39,33,28,39,3
KS Vllaznia Shkodër,Vllaznia Shkodër,2022/2023,Albania,36,18,18,0,13,8,5,11,5,6,12,5,7,1.39,1.61,1.17,4,3,5,4,39,37,2,76,41,35,24,15,17,20,7,-5,83,68,108,87,96,81,11,6,5,16,8,8,14,6,8,16,11,5,153,84,69,19,7,12,51,50,52,263,144,119,123,72,51,140,72,68,92,23,69,19,13,6,17,5,12,2,8,-6,11,9,2,16,5,11,9,4,5,1.36,1.78,0.94,2.11,2.28,1.94,1.08,1.33,0.83,1.03,0.94,1.11,1,1,1,0.53,0.72,0.33,0.47,0.28,0.67,31,21,15,7,2,0,16,11,8,5,1,0,15,10,7,2,1,0,5,15,21,29,34,36,2,7,10,13,17,18,3,8,11,16,17,18,86,58,42,19,6,0,89,61,44,28,6,0,83,56,39,11,6,0,14,42,58,81,94,100,11,39,56,72,94,100,17,44,61,89,94,100,24,12,0,14,4,0,10,8,0,67,33,0,78,22,0,56,44,0,36,44,28,16,31,33,28,44,44,44,39,33,44,44,61,28,23,13,10,64,72,56,21,8,13,58,44,72,4,1,3,11,6,17,31,50,11,44,28,61,25,22,28,6.38,6.46,6.27,1.58,1.4,1.71,96,88,67,46,33,25,13,13,1.69,1.79,1.58,1.36,1.20,1.54,36,3,2,4,5,7,5,3,5,5,2,0,7,4,5,5,5,4,5,31,28,33,33,28,39,8
KF Tirana,Tirana,2022/2023,Albania,36,18,18,0,20,10,10,7,3,4,9,5,4,1.86,1.83,1.89,1,2,1,1,56,33,23,89,55,34,35,21,20,13,15,8,58,46,77,98,81,125,12,4,8,17,10,7,9,4,5,20,10,10,178,106,72,24,11,13,53,51,54,412,237,175,208,129,79,204,108,96,174,97,77,23,16,7,15,9,6,8,7,1,10,6,4,19,8,11,7,4,3,1.36,1.44,1.28,2.47,3.06,1.89,1.56,1.94,1.17,0.92,1.11,0.72,1.06,1.39,0.72,0.64,0.89,0.39,0.42,0.5,0.33,34,25,16,9,4,1,18,13,11,8,4,1,16,12,5,1,0,0,2,11,20,27,32,35,0,5,7,10,14,17,2,6,13,17,18,18,94,69,44,25,11,3,100,72,61,44,22,6,89,67,28,6,0,0,6,31,56,75,89,97,0,28,39,56,78,94,11,33,72,94,100,100,23,11,4,13,8,4,10,3,0,64,31,11,72,44,22,56,17,0,56,56,56,2,33,22,44,47,56,39,25,22,28,56,56,56,22,10,12,61,56,67,20,9,11,56,50,61,7,4,3,19,22,17,28,33,22,53,44,61,19,22,17,5.39,6.24,4.50,1.26,1.1,1.44,85,70,55,42,30,24,15,6,1.94,2.12,1.73,1.22,1.19,1.26,64,3,4,4,4,12,7,4,5,13,4,3,5,2,1,6,4,5,3,19,17,22,25,28,22,6
KS Kastrioti Krujë,Kastrioti Krujë,2022/2023,Albania,36,18,18,0,8,6,2,11,7,4,17,5,12,0.97,1.39,0.56,10,7,10,10,26,49,-23,75,38,37,19,7,19,30,0,-23,125,85,231,66,85,54,11,7,4,13,8,5,18,6,12,9,7,2,81,48,33,20,10,10,48,48,48,200,115,85,91,53,38,109,62,47,192,109,83,11,7,4,24,10,14,-13,-3,-10,5,3,2,19,11,8,12,4,8,0.94,1.11,0.78,2.08,2.11,2.06,0.72,1.06,0.39,1.36,1.06,1.67,0.97,0.94,1,0.31,0.39,0.22,0.67,0.56,0.78,30,19,13,8,5,0,15,10,7,4,2,0,15,9,6,4,3,0,6,17,23,28,31,36,3,8,11,14,16,18,3,9,12,14,15,18,83,53,36,22,14,0,83,56,39,22,11,0,83,50,33,22,17,0,17,47,64,78,86,100,17,44,61,78,89,100,17,50,67,78,83,100,19,10,5,9,6,2,10,4,3,53,28,14,50,33,11,56,22,17,22,33,11,35,31,39,22,36,44,28,50,33,67,25,39,11,21,11,10,58,61,56,26,12,14,72,67,78,6,4,2,17,22,11,14,17,11,53,61,44,33,22,44,3.24,3.20,3.30,1.11,1.11,1.11,60,48,40,36,32,24,12,8,0.95,0.98,0.91,1.66,1.46,1.93,44,2,0,4,2,5,3,4,3,3,3,6,1,9,8,3,9,4,6,31,39,22,47,28,67,4
KS Bylis Ballsh,Bylis Ballsh,2022/2023,Albania,36,18,18,0,9,4,5,11,7,4,16,7,9,1.06,1.06,1.06,9,10,9,9,31,42,-11,73,33,40,16,15,17,25,-1,-10,105,101,108,77,96,65,11,6,5,15,7,8,14,8,6,17,10,7,55,20,35,28,18,10,49,51,49,185,45,140,79,15,64,106,30,76,84,31,53,10,4,6,14,5,9,-4,-1,-3,4,1,3,24,14,10,8,3,5,1,0.94,1.06,2.03,1.83,2.22,0.86,0.89,0.83,1.17,0.94,1.39,0.67,0.5,0.83,0.28,0.22,0.33,0.39,0.28,0.5,32,22,11,5,3,0,15,9,4,3,2,0,17,13,7,2,1,0,4,14,25,31,33,36,3,9,14,15,16,18,1,5,11,16,17,18,89,61,31,14,8,0,83,50,22,17,11,0,94,72,39,11,6,0,11,39,69,86,92,100,17,50,78,83,89,100,6,28,61,89,94,100,16,7,1,6,3,0,10,4,1,44,19,3,33,17,0,56,22,6,25,22,28,12,31,33,28,42,39,44,39,44,33,47,56,39,24,13,11,67,72,61,28,15,13,78,83,72,4,2,2,11,11,11,11,6,17,67,78,56,22,17,28,3.06,4.00,2.69,1.75,3,1.00,50,33,28,22,22,17,17,6,1.42,1.27,1.48,1.46,1.09,1.61,39,1,2,2,4,2,6,4,4,6,1,2,5,6,0,7,5,10,6,31,39,22,44,39,50,6
KS Egnatia Rrogozhinë,Egnatia Rrogozhinë,2022/2023,Albania,36,18,18,0,14,6,8,10,6,4,12,6,6,1.44,1.33,1.56,3,8,3,3,46,32,14,78,41,37,24,22,17,15,7,7,70,68,74,101,96,108,14,6,8,16,9,7,10,5,5,20,10,10,85,31,54,28,13,15,51,56,48,215,76,139,104,34,70,111,42,69,104,66,38,19,11,8,10,5,5,9,6,3,10,5,5,22,11,11,4,2,2,1.44,1.44,1.44,2.17,2.28,2.06,1.28,1.33,1.22,0.89,0.94,0.83,0.81,0.89,0.72,0.53,0.61,0.44,0.28,0.28,0.28,32,23,14,5,4,0,16,14,7,2,2,0,16,9,7,3,2,0,4,13,22,31,32,36,2,4,11,16,16,18,2,9,11,15,16,18,89,64,39,14,11,0,89,78,39,11,11,0,89,50,39,17,11,0,11,36,61,86,89,100,11,22,61,89,89,100,11,50,61,83,89,100,18,9,2,9,6,1,9,3,1,50,25,6,50,33,6,50,17,6,39,33,44,-1,39,33,44,44,50,39,28,28,28,56,56,56,27,13,14,75,72,78,21,11,10,58,61,56,6,3,3,17,17,17,28,28,28,61,61,61,11,11,11,3.54,3.88,3.38,1.87,1.44,2.50,57,50,33,17,17,8,8,8,1.41,1.45,1.39,1.35,1.31,1.37,44,1,3,6,4,6,6,10,2,8,2,1,2,5,2,8,2,4,6,28,33,22,33,33,33,8
KF Erzeni Shijak,Erzeni Shijak,2022/2023,Albania,36,18,18,0,8,4,4,16,9,7,12,5,7,1.11,1.17,1.06,8,9,8,8,36,48,-12,84,39,45,18,18,21,27,-3,-9,90,90,90,68,77,60,10,5,5,21,11,10,10,5,5,11,7,4,85,46,39,25,11,14,46,47,45,279,159,120,121,74,47,158,85,73,132,70,62,13,8,5,15,7,8,-2,1,-3,8,4,4,18,10,8,10,4,6,1.17,1.22,1.11,2.33,2.17,2.5,1,1,1,1.33,1.17,1.5,0.78,0.83,0.72,0.36,0.44,0.28,0.42,0.39,0.44,31,26,14,8,4,1,15,13,6,2,2,1,16,13,8,6,2,0,5,10,22,28,32,35,3,5,12,16,16,17,2,5,10,12,16,18,86,72,39,22,11,3,83,72,33,11,11,6,89,72,44,33,11,0,14,28,61,78,89,97,17,28,67,89,89,94,11,28,56,67,89,100,20,7,1,10,4,1,10,3,0,56,19,3,56,22,6,56,17,0,22,22,22,6,28,28,28,58,61,56,28,28,28,31,39,22,23,11,12,64,61,67,26,12,14,72,67,78,3,3,0,8,17,0,22,22,22,50,56,44,28,22,33,3.04,3.07,3.00,1.47,1.38,1.56,64,54,46,32,25,11,11,7,1.06,1.14,0.96,1.62,1.58,1.65,56,3,2,2,5,1,5,3,6,9,3,4,2,2,8,9,6,4,10,44,50,39,33,28,39,4
