timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1694608200,Sep 13 2023 - 12:30pm,complete,N/A,Karvan FK,Energetik,N/A,1,0.00,0.00,1.43,1.43,4,1,5,1,1,0,"45'1,55,57,88","71",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1694694600,Sep 14 2023 - 12:30pm,complete,N/A,Zaqatala,İrəvan,N/A,1,0.00,0.00,1.50,2.17,0,2,2,1,0,1,"","41,58",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,4.00,4.50,0.00,0.00,1.90,0.00,0.00,0.00,N/A
1694694600,Sep 14 2023 - 12:30pm,complete,N/A,Difai Ağsu,MOIK,N/A,1,0.00,0.00,0.67,1.57,0,3,3,1,0,1,"","10,55,90'3",6,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1694696400,Sep 14 2023 - 1:00pm,complete,N/A,Araz Saatlı,Mil Mugan FK,N/A,1,0.00,0.00,0.43,1.50,0,3,3,1,0,1,"","45'2,72,80",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1694782800,Sep 15 2023 - 1:00pm,complete,N/A,Qaradağ Lökbatan,İnter Bakı,N/A,1,0.00,0.00,2.00,2.00,1,1,2,0,0,0,"52","51",4,4,-1,-1,-1,-1,-1,-1,-1,-1,7,5,3,3,4,2,-1,-1,50,50,0.00,0.00,0.91,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.75,1.73,0.00,1.80,0.00,0.00,0.00,0.00,N/A
1695200400,Sep 20 2023 - 9:00am,complete,N/A,İrəvan,Karvan FK,N/A,2,0.00,0.00,1.40,1.60,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1695209400,Sep 20 2023 - 11:30am,complete,N/A,MOIK,Mil Mugan FK,N/A,2,0.00,3.00,2.20,1.50,1,0,1,0,0,0,"54","",3,2,-1,-1,-1,-1,-1,-1,-1,-1,2,8,2,2,0,6,-1,-1,56,44,0.00,0.00,0.39,0.91,1.50,0,50,50,0,0,0,50,50,50,0.00,0.00,1.54,4.58,4.33,0.00,1.68,0.00,0.00,0.00,0.00,N/A
1695294000,Sep 21 2023 - 11:00am,complete,N/A,İnter Bakı,Araz Saatlı,N/A,2,0.00,0.00,1.67,0.00,8,0,8,5,5,0,"17,21,27,34,37,52,60,89","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Qazax şəhər stadionu
1695294000,Sep 21 2023 - 11:00am,complete,N/A,Energetik,Qaradağ Lökbatan,N/A,2,0.00,0.00,0.80,2.60,0,2,2,0,0,0,"","64,90'4",3,5,-1,-1,-1,-1,-1,-1,-1,-1,4,16,3,6,1,10,-1,-1,50,50,0.00,0.00,0.61,1.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.60,1.67,1.21,1.75,2.70,0.00,1.67,2.05,Yaşar Məmmədzadə adına şəhər stadionu
1695295800,Sep 21 2023 - 11:30am,complete,N/A,Difai Ağsu,Zaqatala,N/A,2,0.00,0.00,0.67,1.17,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,10,2,0,6,10,-1,-1,50,50,0.00,0.00,0.88,1.21,1.50,0,50,50,0,0,0,50,50,50,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
