team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90
AFC Bournemouth Ladies,AFC Bournemouth Ladies,2023/2024,England,9,5,4,1705240800,9,5,4,0,0,0,0,0,0,3,3,3,0,2,2,2,46,6,40,52,25,27,22,24,3,3,19,21,18,20,15,134,150,120,4,2,2,5,3,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,5,6.75,5.11,4.4,6,0.67,0.6,0.75,0,0,0,0,0,0,0,0,0,9,9,9,9,5,2,5,5,5,5,2,1,4,4,4,4,3,1,0,0,0,0,4,7,0,0,0,0,3,4,0,0,0,0,1,3,100,100,100,100,56,22,100,100,100,100,40,20,100,100,100,100,75,25,0,0,0,0,44,78,0,0,0,0,60,80,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,-2,44,40,50,56,60,50,0,0,0,22,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rangers LFC,Rangers W,2023/2024,Scotland,16,8,8,1705248000,15,7,8,1,1,0,0,0,0,2.88,2.75,3,1,1,1,1,75,8,67,83,36,47,32,43,4,4,28,39,19,23,17,180,180,180,8,4,4,8,4,4,0,0,0,14,8,6,131,75,56,8,5,3,64,61,67,359,185,174,181,91,90,178,94,84,64,32,32,28,11,17,2,1,1,26,10,16,12,6,6,4,2,2,0,0,0,2.5,2.5,2.5,5.19,4.5,5.88,4.69,4,5.38,0.5,0.5,0.5,1.88,1.5,2.25,1.75,1.38,2.13,0.13,0.13,0.13,16,15,13,11,9,7,8,7,6,6,4,3,8,8,7,5,5,4,0,1,3,5,7,9,0,1,2,2,4,5,0,0,1,3,3,4,100,94,81,69,56,44,100,88,75,75,50,38,100,100,88,63,63,50,0,6,19,31,44,56,0,12,25,25,50,62,0,0,12,37,37,50,13,8,6,7,3,2,6,5,4,81,50,38,88,38,25,75,63,50,94,88,100,0,50,50,50,50,50,50,0,0,0,88,100,75,14,7,7,88,88,88,3,1,2,19,13,25,2,1,1,13,13,13,75,75,75,25,25,25,0,0,0,8.19,9.38,7.00,0.57,0.71,0.43,81,75,63,50,38,38,19,19,225,3,7,6,9,7,10,7,11,15,1,0,0,0,2,2,2,0,1
Real Avilés CF,Real Avilés,2023/2024,Spain,14,7,7,1705231800,13,6,7,1,1,0,0,0,0,2.86,2.71,3,1,8,1,1,43,8,35,51,23,28,21,22,2,6,19,16,29,30,29,158,310,105,6,5,1,8,2,6,0,0,0,7,7,0,13,9,4,7,4,3,56,58,49,32,29,3,21,18,3,11,11,0,49,28,21,6,5,1,2,1,1,4,4,0,2,2,0,2,1,1,0,0,0,2,2.33,1,3.64,3.29,4,3.07,3,3.14,0.57,0.29,0.86,2,2,2,1.5,1.67,1,0.5,0.33,1,14,14,11,9,3,0,7,7,4,4,1,0,7,7,7,5,2,0,0,0,3,5,11,14,0,0,3,3,6,7,0,0,0,2,5,7,100,100,79,64,21,0,100,100,57,57,14,0,100,100,100,71,29,0,0,0,21,36,79,100,0,0,43,43,86,100,0,0,0,29,71,100,3,3,1,2,2,1,1,1,0,75,75,25,67,67,33,100,100,0,93,86,100,24,43,71,14,57,29,86,0,0,0,50,100,0,2,2,0,50,67,0,1,1,0,25,33,0,2,1,1,50,33,100,50,67,0,50,33,100,0,0,0,3.25,3.00,4.00,1.75,1.33,3.00,50,50,50,50,25,0,0,0,229,0,2,2,0,3,2,0,2,0,0,1,1,0,0,0,0,0,1
AS Forces Armées Royales,FAR Rabat,2023/2024,Morocco,11,5,6,1705240800,10,4,6,1,1,0,0,0,0,2.82,2.6,3,1,1,1,1,52,4,48,56,29,27,28,24,1,3,27,21,19,16,23,250,450,180,8,4,4,3,1,2,0,0,0,4,4,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,5.8,4.5,4.73,5.6,4,0.36,0.2,0.5,0,0,0,0,0,0,0,0,0,11,11,8,7,6,5,5,5,4,3,3,3,6,6,4,4,3,2,0,0,3,4,5,6,0,0,1,2,2,2,0,0,2,2,3,4,100,100,73,64,55,45,100,100,80,60,60,60,100,100,67,67,50,33,0,0,27,36,45,55,0,0,20,40,40,40,0,0,33,33,50,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,80,100,31,73,80,67,27,20,33,0,0,0,36,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00,0.00,5.00,0,0,0.00,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnsley Women,Barnsley Women,2023/2024,England,10,6,4,1705240800,9,5,4,1,1,0,0,0,0,2.8,2.67,3,0,1,1,1,28,6,22,34,21,13,16,12,5,1,11,11,32,34,30,150,108,360,6,3,3,4,3,1,1,1,0,2,2,0,6,0,6,0,0,0,54,53,55,22,2,20,12,2,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,3.4,3.5,3.25,2.8,2.67,3,0.6,0.83,0.25,0,0,0,0,0,0,0,0,0,9,8,8,3,2,2,5,5,5,2,1,1,4,3,3,1,1,1,1,2,2,7,8,8,1,1,1,4,5,5,0,1,1,3,3,3,90,80,80,30,20,20,83,83,83,33,17,17,100,75,75,25,25,25,10,20,20,70,80,80,17,17,17,67,83,83,0,25,25,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,83,100,-22,60,50,75,40,50,25,10,17,0,20,33,0,1,1,0,100,100,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,6.00,0.00,6.00,0,0,0.00,100,100,100,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exeter City LFC,Exeter City W,2023/2024,England,10,5,5,1705240800,9,5,4,1,0,1,0,0,0,2.8,3,2.6,0,3,1,1,45,10,35,55,31,24,25,20,6,4,19,16,20,18,23,90,75,113,4,2,2,6,3,3,1,0,1,2,2,0,0,0,0,0,0,0,62,0,62,5,0,5,2,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,5.5,6.2,4.8,4.5,5,4,1,1.2,0.8,0,0,0,0,0,0,0,0,0,9,9,9,8,7,6,5,5,5,5,4,3,4,4,4,3,3,3,1,1,1,2,3,4,0,0,0,0,1,2,1,1,1,2,2,2,90,90,90,80,70,60,100,100,100,100,80,60,80,80,80,60,60,60,10,10,10,20,30,40,0,0,0,0,20,40,20,20,20,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,100,80,-5,40,40,40,60,60,60,10,0,20,20,40,0,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS Virtus,Virtus,2023/2024,San Marino,14,7,7,1705240800,13,7,6,0,0,0,1,0,1,2.79,3,2.57,2,2,2,2,31,8,23,39,23,16,20,11,3,5,17,6,41,31,57,158,209,127,8,4,4,5,3,2,1,0,1,10,6,4,32,24,8,0,0,0,56,58,53,77,58,19,35,23,12,42,35,7,0,0,0,16,14,2,4,1,3,12,13,-1,8,6,2,3,1,2,3,0,3,1.93,2.71,1.14,2.79,3.29,2.29,2.21,2.86,1.57,0.57,0.43,0.71,1.43,2.14,0.71,1.14,2,0.29,0.29,0.14,0.43,14,11,9,2,1,1,7,6,5,2,1,1,7,5,4,0,0,0,0,3,5,12,13,13,0,1,2,5,6,6,0,2,3,7,7,7,100,79,64,14,7,7,100,86,71,29,14,14,100,71,57,0,0,0,0,21,36,86,93,93,0,14,29,71,86,86,0,29,43,100,100,100,12,4,3,7,4,3,5,0,0,86,29,21,100,57,43,71,0,0,93,100,86,27,57,57,57,36,43,29,7,0,14,71,86,57,10,6,4,71,86,57,5,0,5,36,0,71,1,1,0,7,14,0,57,86,29,21,14,29,21,0,43,6.40,8.00,4.00,0,0,0.00,60,40,40,20,20,20,20,0,57,3,2,1,5,6,1,5,4,4,1,0,1,1,1,3,0,0,1
SD Eibar II Women,Eibar II W,2023/2024,Spain,14,7,7,1705242600,13,7,6,0,0,0,1,0,1,2.79,3,2.57,1,3,3,2,47,13,34,60,28,32,22,25,6,7,16,18,27,29,25,97,105,90,8,4,4,6,3,3,0,0,0,10,6,4,48,25,23,9,6,3,57,61,55,120,56,64,62,25,37,58,31,27,76,32,44,13,5,8,5,3,2,8,2,6,3,1,2,4,2,2,1,0,1,1.63,1.67,1.6,4.29,4,4.57,3.36,3.14,3.57,0.93,0.86,1,2.25,2.67,2,1.63,1.67,1.6,0.63,1,0.4,14,12,12,9,7,4,7,6,6,4,3,1,7,6,6,5,4,3,0,2,2,5,7,10,0,1,1,3,4,6,0,1,1,2,3,4,100,86,86,64,50,29,100,86,86,57,43,14,100,86,86,71,57,43,0,14,14,36,50,71,0,14,14,43,57,86,0,14,14,29,43,57,5,5,3,2,2,1,3,3,2,63,63,38,67,67,33,60,60,40,93,100,86,1,57,57,57,43,43,43,0,0,0,71,86,57,5,1,4,63,33,80,3,1,2,38,33,40,3,2,1,38,67,20,38,33,40,50,67,40,13,0,20,5.33,6.25,4.60,1,1.5,0.60,89,67,44,33,33,11,0,0,221,4,2,1,4,3,3,1,2,2,0,4,1,0,0,2,2,1,2
Cardiff City FC Women,Cardiff City,2023/2024,Wales,9,4,5,1705246200,8,3,5,1,1,0,0,0,0,2.78,2.5,3,1,2,1,1,29,4,25,33,14,19,12,17,2,2,10,15,28,30,26,205,180,225,5,2,3,4,2,2,1,1,0,7,3,4,52,26,26,6,3,3,52,50,54,132,84,48,69,42,27,63,42,21,0,0,0,11,5,6,1,1,0,10,4,6,6,3,3,2,1,1,0,0,0,2.5,2.5,2.5,3.67,3.5,3.8,3.22,3,3.4,0.44,0.5,0.4,1.5,1.5,1.5,1.38,1.25,1.5,0.13,0.25,0,8,7,7,5,3,2,3,3,3,2,1,1,5,4,4,3,2,1,1,2,2,4,6,7,1,1,1,2,3,3,0,1,1,2,3,4,89,78,78,56,33,22,75,75,75,50,25,25,100,80,80,60,40,20,11,22,22,44,67,78,25,25,25,50,75,75,0,20,20,40,60,80,6,4,2,3,2,1,3,2,1,75,50,25,75,50,25,75,50,25,89,75,100,-11,56,50,60,44,50,40,11,25,0,78,75,80,7,3,4,88,75,100,2,1,1,25,25,25,1,1,0,13,25,0,75,75,75,25,25,25,0,0,0,6.50,6.50,6.50,1,1,1.00,75,75,75,63,38,38,38,38,144,2,2,3,3,4,4,3,2,2,0,0,1,0,0,1,1,0,0
Queen's Park LFC,Queen's Park W,2023/2024,Scotland,13,6,7,1705244400,12,6,6,0,0,0,1,0,1,2.77,3,2.57,1,1,1,1,46,10,36,56,26,30,22,24,4,6,18,18,25,25,26,117,134,105,7,3,4,6,3,3,0,0,0,3,3,0,35,25,10,0,0,0,54,52,59,104,66,38,60,39,21,44,27,17,32,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,4.33,4.29,3.54,3.67,3.43,0.77,0.67,0.86,0,0,0,0,0,0,0,0,0,13,11,11,10,8,3,6,5,5,5,4,1,7,6,6,5,4,2,0,2,2,3,5,10,0,1,1,1,2,5,0,1,1,2,3,5,100,85,85,77,62,23,100,83,83,83,67,17,100,86,86,71,57,29,0,15,15,23,38,77,0,17,17,17,33,83,0,14,14,29,43,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,100,86,9,54,50,57,46,50,43,0,0,0,23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83,6.25,5.00,0,0,0.00,50,50,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
