timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1615019400,Mar 06 2021 - 8:30am,complete,N/A,Soltilo Angkor,Phnom Penh Crown,N/A,1,0.00,0.00,0.70,2.44,1,7,8,5,0,5,"58","18,32,33,34,43,88,90'1",2,6,-1,-1,-1,-1,-1,-1,-1,-1,4,13,2,9,2,4,-1,-1,41,59,0.00,0.00,0.66,1.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.00,6.50,1.20,0.00,1.36,0.00,0.00,0.00,0.00,N/A
1615019400,Mar 06 2021 - 8:30am,complete,N/A,Electricite du Cambodge,Police Commissary,N/A,1,0.00,0.00,0.56,0.33,3,2,5,3,2,1,"16,45'1,48","2,69",2,3,-1,-1,-1,-1,-1,-1,-1,-1,14,12,7,7,7,5,-1,-1,55,45,0.00,0.00,1.75,1.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,3.40,2.25,0.00,1.57,0.00,0.00,0.00,0.00,N/A
1615019400,Mar 06 2021 - 8:30am,complete,N/A,Prey Veng,Cambodia Tiger,N/A,1,0.00,0.00,0.67,1.45,1,1,2,1,0,1,"51","39",5,5,-1,-1,-1,-1,-1,-1,-1,-1,9,16,4,3,5,13,-1,-1,43,57,0.00,0.00,1.14,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.50,1.91,0.00,1.50,0.00,0.00,0.00,0.00,N/A
1615105800,Mar 07 2021 - 8:30am,complete,N/A,Kirivong Sok Sen Chey,Asia Europe University,N/A,1,0.00,0.00,0.67,1.17,4,2,6,3,2,1,"5,14,51,86","3,60",1,6,-1,-1,-1,-1,-1,-1,-1,-1,18,13,11,4,7,9,-1,-1,42,58,0.00,0.00,2.36,1.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.34,3.80,2.85,0.00,1.44,0.00,0.00,1.57,2.30,N/A
1615105800,Mar 07 2021 - 8:30am,complete,N/A,Boeung Ket,Naga World,N/A,1,0.00,0.00,1.38,2.25,0,1,1,1,0,1,"","8",10,2,-1,-1,-1,-1,-1,-1,-1,-1,19,6,4,2,15,4,-1,-1,59,41,0.00,0.00,2.02,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.21,3.75,3.70,0.00,1.40,0.00,0.00,1.54,2.40,Army Stadium
1615114800,Mar 07 2021 - 11:00am,complete,N/A,Visakha,National Defense,N/A,1,0.00,0.00,1.90,1.58,0,0,0,0,0,0,"","",5,3,-1,-1,-1,-1,-1,-1,-1,-1,9,10,4,5,5,5,-1,-1,58,42,0.00,0.00,1.13,1.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.27,3.80,3.25,0.00,1.65,0.00,0.00,1.62,2.20,RSN Stadium
1615633200,Mar 13 2021 - 11:00am,complete,N/A,Svay Rieng,Electricite du Cambodge,N/A,1,0.00,0.00,2.11,1.14,6,1,7,5,4,1,"7,19,29,31,67,90'1","35",7,6,-1,-1,-1,-1,-1,-1,-1,-1,23,14,9,5,14,9,-1,-1,54,46,0.00,0.00,2.37,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.06,11.00,17.00,0.00,1.22,0.00,0.00,0.00,0.00,Sports Complex Svay Rieng
1615710600,Mar 14 2021 - 8:30am,complete,N/A,Cambodia Tiger,Kirivong Sok Sen Chey,N/A,2,0.00,0.00,1.50,0.70,2,0,2,1,1,0,"4,64","",2,4,-1,-1,-1,-1,-1,-1,-1,-1,9,8,3,0,6,8,-1,-1,47,53,0.00,0.00,1.08,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,4.50,3.60,0.00,1.25,0.00,0.00,1.35,3.08,N/A
1616574600,Mar 24 2021 - 8:30am,complete,N/A,Asia Europe University,National Defense,N/A,2,0.00,1.00,0.70,1.58,1,2,3,0,0,0,"83","66,90'2",4,4,-1,-1,-1,-1,-1,-1,-1,-1,16,11,7,5,9,6,-1,-1,47,53,0.00,1.26,1.87,1.42,0.00,0,0,0,0,0,0,0,0,0,3.00,0.00,3.95,4.20,1.18,0.00,1.36,0.00,0.00,1.46,2.51,N/A
1616833800,Mar 27 2021 - 8:30am,complete,N/A,Kirivong Sok Sen Chey,Phnom Penh Crown,N/A,2,3.00,3.00,0.67,2.44,1,2,3,1,0,1,"89","36,80",4,6,-1,-1,-1,-1,-1,-1,-1,-1,6,17,2,9,4,8,-1,-1,41,59,2.36,1.93,0.80,2.09,7.00,100,100,100,100,100,100,100,100,100,7.00,0.00,5.50,5.50,1.09,0.00,1.30,0.00,0.00,1.57,2.34,N/A
1616920200,Mar 28 2021 - 8:30am,complete,N/A,Asia Europe University,Police Commissary,N/A,3,0.00,0.00,0.70,0.33,3,2,5,3,2,1,"5,20,51","15,90'1",2,4,-1,-1,-1,-1,-1,-1,-1,-1,14,24,9,12,5,12,-1,-1,39,61,1.87,1.72,1.71,2.76,4.00,100,100,100,50,50,50,50,100,100,7.00,0.00,1.83,3.60,1.83,0.00,1.30,0.00,0.00,1.36,3.01,N/A
1616929200,Mar 28 2021 - 11:00am,complete,N/A,Svay Rieng,Naga World,N/A,3,3.00,3.00,2.11,2.25,3,1,4,3,2,1,"25,43,90","20",3,4,-1,-1,-1,-1,-1,-1,-1,-1,12,15,5,3,7,12,-1,-1,57,43,2.37,0.76,1.45,1.42,4.00,50,50,50,50,50,50,100,50,50,9.00,0.00,1.17,4.50,4.15,0.00,1.33,0.00,0.00,1.45,2.66,Sports Complex Svay Rieng
1617265800,Apr 01 2021 - 8:30am,complete,N/A,Cambodia Tiger,National Defense,N/A,3,3.00,2.00,1.50,1.58,3,2,5,5,3,2,"18,24,37","45'1,45'3",3,7,-1,-1,-1,-1,-1,-1,-1,-1,6,9,4,4,2,5,-1,-1,38,62,1.08,1.34,0.88,1.29,1.75,25,75,25,0,0,0,50,25,75,5.50,0.00,1.32,4.00,2.95,0.00,1.40,0.00,0.00,1.42,2.65,N/A
1617611400,Apr 05 2021 - 8:30am,complete,N/A,Soltilo Angkor,National Defense,N/A,3,0.00,1.33,0.70,1.58,0,3,3,2,0,2,"","4,31,90'3",9,3,-1,-1,-1,-1,-1,-1,-1,-1,10,12,3,8,7,4,-1,-1,55,45,0.66,1.32,1.28,1.63,5.34,84,84,84,67,67,67,67,67,67,6.67,0.00,13.00,9.50,1.10,0.00,1.13,0.00,0.00,0.00,0.00,N/A
1617697800,Apr 06 2021 - 8:30am,complete,N/A,Kirivong Sok Sen Chey,Prey Veng,N/A,2,1.50,0.00,0.67,0.71,3,0,3,1,1,0,"32,55,83","",8,3,-1,-1,-1,-1,-1,-1,-1,-1,18,18,8,5,10,13,-1,-1,49,51,1.58,0.00,2.09,1.99,2.25,50,50,50,25,25,25,50,50,50,2.50,0.00,4.75,5.50,1.15,0.00,1.36,0.00,0.00,1.70,2.10,N/A
1617697800,Apr 06 2021 - 8:30am,complete,N/A,Boeung Ket,Phnom Penh Crown,N/A,2,0.00,3.00,1.38,2.44,1,2,3,1,1,0,"18","52,54",6,7,-1,-1,-1,-1,-1,-1,-1,-1,12,12,2,3,10,9,-1,-1,52,48,2.02,2.01,1.12,1.28,3.25,50,50,50,25,25,25,100,50,50,16.00,0.00,1.85,3.60,1.85,0.00,1.40,0.00,0.00,1.40,2.85,Army Stadium
1617697800,Apr 06 2021 - 8:30am,complete,N/A,Electricite du Cambodge,Naga World,N/A,2,3.00,1.50,0.56,2.25,1,3,4,4,1,3,"27","30,38,43",3,6,-1,-1,-1,-1,-1,-1,-1,-1,14,25,3,5,11,20,-1,-1,48,52,1.75,1.09,1.29,2.35,3.75,75,75,75,75,50,75,100,50,75,5.00,0.00,6.50,5.50,1.08,0.00,1.33,0.00,0.00,1.83,1.93,N/A
1617784200,Apr 07 2021 - 8:30am,complete,N/A,Asia Europe University,Svay Rieng,N/A,2,1.50,0.00,0.70,2.30,3,4,7,3,2,1,"6,45'2,59","42,46,64,65",5,8,-1,-1,-1,-1,-1,-1,-1,-1,8,18,7,9,1,9,-1,-1,31,69,1.79,0.00,1.22,2.22,2.00,50,50,50,25,25,25,25,50,50,3.00,0.00,26.00,15.00,1.03,1.01,1.12,1.19,1.50,1.91,1.80,N/A
1617784200,Apr 07 2021 - 8:30am,complete,N/A,Police Commissary,Cambodia Tiger,N/A,2,0.00,1.00,1.20,1.45,0,1,1,1,0,1,"","21",4,1,-1,-1,-1,-1,-1,-1,-1,-1,13,12,2,3,11,9,-1,-1,47,53,0.00,1.55,1.32,1.29,1.00,50,50,0,0,0,0,50,0,50,5.00,0.00,4.05,5.00,1.17,1.05,1.30,1.73,2.75,1.48,2.45,N/A
1621067400,May 15 2021 - 8:30am,complete,N/A,Visakha,Police Commissary,N/A,3,1.00,0.00,1.90,0.33,1,1,2,0,0,0,"64","48",7,2,-1,-1,-1,-1,-1,-1,-1,-1,15,8,8,4,7,4,-1,-1,58,42,1.13,2.24,2.01,1.03,2.50,50,50,50,50,50,50,50,50,50,8.50,0.00,1.17,5.98,7.83,1.04,1.18,1.49,2.07,1.48,2.50,RSN Stadium
1621067400,May 15 2021 - 8:30am,complete,N/A,Naga World,National Defense,N/A,3,0.00,1.75,1.43,1.58,2,2,4,1,1,0,"16,69","85,90",3,12,-1,-1,-1,-1,-1,-1,-1,-1,5,18,4,5,1,13,-1,-1,40,60,0.00,1.40,0.79,1.96,1.38,25,38,38,13,13,25,25,13,25,4.25,0.00,1.80,3.76,3.04,1.13,1.37,2.05,3.48,1.45,2.55,N/A
