timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1690336800,Jul 26 2023 - 2:00am,complete,N/A,Municipal Liberia,Herediano,Adrian Chinchilla,1,0.00,0.00,1.27,1.69,1,4,5,3,0,3,"82","4,15,27,56",5,4,3,0,4,0,1,2,1,3,7,14,5,8,2,6,10,12,53,47,0.00,0.00,1.06,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.90,3.40,1.85,0.00,1.90,0.00,0.00,1.80,1.91,Estadio Edgardo Baltodano Briceño (Liberia)
1690337700,Jul 26 2023 - 2:15am,complete,N/A,Pérez Zeledón,Puntarenas,Hugo Cruz Alvarado,1,0.00,0.00,1.57,0.33,1,0,1,0,0,0,"51","",2,3,3,0,2,0,0,3,1,1,8,10,4,2,4,8,24,16,58,42,0.00,0.00,1.23,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.20,2.80,1.30,2.05,3.50,6.50,1.75,2.03,Estadio Municipal Pérez Zeledón (San Isidro de El General)
1690419600,Jul 27 2023 - 1:00am,complete,N/A,Santos de Guápiles,Alajuelense,Steven Madrigal,1,0.00,0.00,1.40,1.87,0,1,1,1,0,1,"","36",5,4,0,0,0,0,0,0,0,0,11,9,6,4,5,5,9,12,52,48,0.00,0.00,1.30,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.25,3.93,1.50,1.25,1.76,2.98,5.60,1.84,1.92,Estadio Ebal Rodríguez Aguilar (Guápiles)
1690423200,Jul 27 2023 - 2:00am,complete,N/A,Deportivo Saprissa,Sporting San José,Josué Ugalde,1,0.00,0.00,2.69,1.00,2,1,3,2,1,1,"45'3,63","17",8,4,1,0,2,0,1,0,0,2,5,4,3,2,2,2,11,14,57,43,0.00,0.00,1.20,0.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.42,4.02,6.40,1.22,1.78,2.75,5.25,1.95,1.75,Estadio Ricardo Saprissa Aymá (San Juan de Tíbás (San José))
1690507800,Jul 28 2023 - 1:30am,complete,N/A,San Carlos,Grecia,Bryan Cruz,1,0.00,0.00,1.57,0.60,3,0,3,1,1,0,"35,57,88","",11,2,1,0,3,0,0,1,2,1,4,0,4,0,0,0,9,9,59,41,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.56,4.15,5.65,1.19,1.65,2.60,4.70,1.73,1.94,Estadio Carlos Ugalde Álvarez (Ciudad Quesada)
1690509600,Jul 28 2023 - 2:00am,complete,N/A,Cartaginés,Guanacasteca,William Mattus Vega,1,0.00,0.00,1.93,1.71,1,0,1,0,0,0,"70","",7,2,1,0,2,1,0,1,1,2,17,11,8,4,9,7,17,15,55,45,0.00,0.00,2.11,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.81,4.72,1.25,1.83,2.90,5.25,1.75,1.95,Estadio José Rafael Fello Meza (Cartago)
1690675200,Jul 30 2023 - 12:00am,complete,N/A,Alajuelense,Municipal Liberia,David Gómez,2,0.00,0.00,2.19,0.77,3,3,6,2,0,2,"58,63,74","15,26,83",10,7,3,0,3,1,1,2,0,4,19,15,10,10,9,5,8,8,50,50,0.00,0.00,2.62,2.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.27,5.25,9.00,1.15,1.57,2.40,4.10,2.10,1.67,Estadio Alejandro Morera Soto (Alajuela)
1690678800,Jul 30 2023 - 1:00am,complete,N/A,Puntarenas,Santos de Guápiles,Keylor Herrera,2,0.00,0.00,1.43,0.46,0,0,0,0,0,0,"","",5,1,2,0,4,1,1,1,1,4,7,4,2,2,5,2,9,15,48,52,0.00,0.00,1.14,0.68,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.25,3.80,1.35,2.10,3.78,7.00,1.91,1.86,Estadio Municipal de Puntarenas Miguel Ángel Lito Pérez Treacy (Puntarenas)
1690684200,Jul 30 2023 - 2:30am,complete,N/A,Herediano,Pérez Zeledón,William Mattus Vega,2,0.00,0.00,2.13,0.36,4,0,4,1,1,0,"45'5,48,62,80","",7,1,2,0,1,0,0,2,1,0,9,2,5,0,4,2,13,17,64,36,0.00,0.00,1.44,0.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.37,4.70,7.25,1.17,1.57,2.45,4.40,1.91,1.80,Estadio CDI José Joaquín Colleya Fonseca (San José)
1690750800,Jul 30 2023 - 9:00pm,complete,N/A,Guanacasteca,Deportivo Saprissa,Ricardo Montero,2,0.00,0.00,1.71,2.18,0,1,1,1,0,1,"","18",3,3,3,0,3,0,2,1,2,1,17,8,8,5,9,3,16,21,57,43,0.00,0.00,2.09,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.50,3.70,1.65,1.22,1.97,2.73,4.83,1.75,1.95,Estadio Chorotega (Nicoya)
