timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1633005000,Sep 30 2021 - 12:30pm,complete,N/A,Dekernes,El Mansura,N/A,1,0.00,0.00,2.07,1.13,3,0,3,2,2,0,"36,4503,74","",4,5,3,0,5,0,1,2,2,3,15,17,8,8,7,9,-1,-1,57,43,0.00,0.00,1.92,2.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.55,2.70,2.88,1.50,2.52,0.00,0.00,0.00,0.00,Dikernis Stadium (Dekernes (Dikernis))
1633005000,Sep 30 2021 - 12:30pm,complete,N/A,Al Masry Salloum,Kafr El Sheikh,N/A,1,0.00,0.00,1.53,1.33,1,1,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Alexandria University Stadium (Al-Iskandarîah (Alexandria))
1633005000,Sep 30 2021 - 12:30pm,complete,N/A,El Magd,Sporting Alexandria,N/A,1,0.00,0.00,2.00,0.80,2,0,2,0,0,0,"","",4,6,0,0,0,0,0,0,0,0,10,7,5,0,5,7,20,22,50,50,0.00,0.00,1.23,0.65,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Tolip Stadium (Borg El Arab)
1633005000,Sep 30 2021 - 12:30pm,complete,N/A,El Olympi,Baladiyyat Al Mehalla,N/A,1,0.00,0.00,2.33,1.40,1,0,1,0,0,0,"87","",5,5,3,0,1,0,1,2,0,1,8,3,2,0,6,3,24,14,46,54,0.00,0.00,0.94,0.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,2.90,2.80,1.47,2.37,0.00,0.00,0.00,0.00,Ezzedin Yacoub Stadium (Al-Iskandarîah (Alexandria))
1633005000,Sep 30 2021 - 12:30pm,complete,N/A,Sed Elmahla,El Hamam,N/A,1,0.00,0.00,0.87,0.73,1,1,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.63,3.00,2.50,0.00,2.88,0.00,0.00,0.00,0.00,Kafr El Sheikh Stadium (Kafr El Sheikh)
1633005000,Sep 30 2021 - 12:30pm,complete,N/A,El Zarqa,Alaab Damanhour,N/A,1,0.00,0.00,0.87,0.73,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Al Zarka Stadium (Al Zarka (AZ Zarqa))
1633005000,Sep 30 2021 - 12:30pm,complete,N/A,Pioneers,Abu Qair Semad,N/A,1,0.00,0.00,1.60,1.27,1,1,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Sherbeen Stadium (Sherbeen)
1633091400,Oct 01 2021 - 12:30pm,complete,N/A,Suez,Masr,N/A,1,0.00,0.00,1.33,1.13,0,1,1,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.25,2.80,3.20,1.50,2.52,0.00,0.00,0.00,0.00,New Suez Stadium (as-Suways (Suez))
1633091400,Oct 01 2021 - 12:30pm,complete,N/A,Tersana,Porto Suez,N/A,1,0.00,0.00,1.40,1.67,1,2,3,0,0,0,"63","81,82",1,6,1,0,4,2,0,1,2,4,5,10,3,5,2,5,15,21,55,45,0.00,0.00,0.87,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,2.88,2.80,1.48,2.52,0.00,0.00,0.00,0.00,Mit Okba Stadium (Al-Gīza (Giza))
1633091400,Oct 01 2021 - 12:30pm,complete,N/A,Telecom Egypt SC,El Entag El Harby,N/A,1,0.00,0.00,1.20,1.07,1,1,2,1,0,1,"9006","23",6,3,0,0,1,0,0,0,0,1,14,8,5,3,9,5,-1,-1,54,46,0.00,0.00,1.71,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.25,2.80,2.20,1.53,0.00,0.00,0.00,0.00,0.00,Olympic Sports Center Maadi (al-Qāhirah (Cairo))
1633091400,Oct 01 2021 - 12:30pm,complete,N/A,Bur Fouad,El Seka El Hadid,N/A,1,0.00,0.00,0.80,1.07,1,1,2,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,2.63,2.70,1.48,2.52,0.00,0.00,0.00,0.00,Port Fouad SC Pitch (Port Fouad City)
1633091400,Oct 01 2021 - 12:30pm,complete,N/A,El Daklyeh FC,Petrojet,N/A,1,0.00,0.00,2.47,1.60,4,3,7,4,3,1,"10,42,45,84","40,62,9005",4,5,1,0,2,0,1,0,0,2,10,16,7,7,3,9,-1,-1,52,48,0.00,0.00,1.51,1.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,2.88,3.80,1.60,0.00,0.00,0.00,0.00,0.00,Al-Shorta Stadium (al-Qāhirah (Cairo))
