home_team_name,away_team_name,placar,frequencia,total_jogos,participacao_percentual,odds_ft_home_team_win,odds_ft_away_team_win
Adelaide United,Brisbane Roar,0x2,1,3,33.33,2.21,3.15
Adelaide United,Brisbane Roar,0x2,1,3,33.33,1.82,3.64
Adelaide United,Brisbane Roar,0x2,1,3,33.33,1.91,3.1
Adelaide United,Brisbane Roar,2x0,1,3,33.33,2.21,3.15
Adelaide United,Brisbane Roar,2x0,1,3,33.33,1.82,3.64
Adelaide United,Brisbane Roar,2x0,1,3,33.33,1.91,3.1
Adelaide United,Brisbane Roar,2x1,1,3,33.33,2.21,3.15
Adelaide United,Brisbane Roar,2x1,1,3,33.33,1.82,3.64
Adelaide United,Brisbane Roar,2x1,1,3,33.33,1.91,3.1
Adelaide United,Central Coast Mariners,0x4,1,6,16.67,2.06,3.42
Adelaide United,Central Coast Mariners,0x4,1,6,16.67,2.2,2.75
Adelaide United,Central Coast Mariners,0x4,1,6,16.67,2.37,2.17
Adelaide United,Central Coast Mariners,0x4,1,6,16.67,2.3,2.45
Adelaide United,Central Coast Mariners,0x4,1,6,16.67,2.29,2.9
Adelaide United,Central Coast Mariners,0x4,1,6,16.67,2.4,2.5
Adelaide United,Central Coast Mariners,1x2,1,6,16.67,2.06,3.42
Adelaide United,Central Coast Mariners,1x2,1,6,16.67,2.2,2.75
Adelaide United,Central Coast Mariners,1x2,1,6,16.67,2.37,2.17
Adelaide United,Central Coast Mariners,1x2,1,6,16.67,2.3,2.45
Adelaide United,Central Coast Mariners,1x2,1,6,16.67,2.29,2.9
Adelaide United,Central Coast Mariners,1x2,1,6,16.67,2.4,2.5
Adelaide United,Central Coast Mariners,1x4,1,6,16.67,2.06,3.42
Adelaide United,Central Coast Mariners,1x4,1,6,16.67,2.2,2.75
Adelaide United,Central Coast Mariners,1x4,1,6,16.67,2.37,2.17
Adelaide United,Central Coast Mariners,1x4,1,6,16.67,2.3,2.45
Adelaide United,Central Coast Mariners,1x4,1,6,16.67,2.29,2.9
Adelaide United,Central Coast Mariners,1x4,1,6,16.67,2.4,2.5
Adelaide United,Central Coast Mariners,2x1,1,6,16.67,2.06,3.42
Adelaide United,Central Coast Mariners,2x1,1,6,16.67,2.2,2.75
Adelaide United,Central Coast Mariners,2x1,1,6,16.67,2.37,2.17
Adelaide United,Central Coast Mariners,2x1,1,6,16.67,2.3,2.45
Adelaide United,Central Coast Mariners,2x1,1,6,16.67,2.29,2.9
Adelaide United,Central Coast Mariners,2x1,1,6,16.67,2.4,2.5
Adelaide United,Central Coast Mariners,3x0,1,6,16.67,2.06,3.42
Adelaide United,Central Coast Mariners,3x0,1,6,16.67,2.2,2.75
Adelaide United,Central Coast Mariners,3x0,1,6,16.67,2.37,2.17
Adelaide United,Central Coast Mariners,3x0,1,6,16.67,2.3,2.45
Adelaide United,Central Coast Mariners,3x0,1,6,16.67,2.29,2.9
Adelaide United,Central Coast Mariners,3x0,1,6,16.67,2.4,2.5
Adelaide United,Central Coast Mariners,3x1,1,6,16.67,2.06,3.42
Adelaide United,Central Coast Mariners,3x1,1,6,16.67,2.2,2.75
Adelaide United,Central Coast Mariners,3x1,1,6,16.67,2.37,2.17
Adelaide United,Central Coast Mariners,3x1,1,6,16.67,2.3,2.45
Adelaide United,Central Coast Mariners,3x1,1,6,16.67,2.29,2.9
Adelaide United,Central Coast Mariners,3x1,1,6,16.67,2.4,2.5
Adelaide United,Macarthur,0x0,1,4,25.0,2.17,3.1
Adelaide United,Macarthur,0x0,1,4,25.0,1.9,3.73
Adelaide United,Macarthur,0x0,1,4,25.0,1.84,3.74
Adelaide United,Macarthur,0x0,1,4,25.0,0.0,0.0
Adelaide United,Macarthur,1x0,2,4,50.0,2.17,3.1
Adelaide United,Macarthur,1x0,2,4,50.0,1.9,3.73
Adelaide United,Macarthur,1x0,2,4,50.0,1.84,3.74
Adelaide United,Macarthur,1x0,2,4,50.0,0.0,0.0
