timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1631373300,Sep 11 2021 - 3:15pm,complete,N/A,Panaitolikos,Asteras Tripolis,Alexandros Tsakalidis,1,0.00,0.00,1.00,1.06,0,0,0,0,0,0,"","",1,4,1,0,3,0,0,1,0,3,4,8,3,3,1,5,18,23,43,57,0.00,0.00,0.54,0.90,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.00,3.00,2.40,1.51,2.40,4.15,8.25,2.10,1.71,Stadio Panetolikou (Agrinio)
1631381400,Sep 11 2021 - 5:30pm,complete,N/A,Panathinaikos,Apollon Smirnis,Anastasios Sidiropoulos,1,0.00,0.00,2.33,0.47,4,0,4,2,2,0,"30,45'1,73,83","",1,3,3,0,5,1,2,1,3,3,12,12,10,4,2,8,12,20,65,35,0.00,0.00,1.56,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.15,6.50,1.40,2.10,3.75,7.25,2.30,1.59,Stadio Apóstolos Nikolaidis (Athína (Athens))
1631459700,Sep 12 2021 - 3:15pm,complete,N/A,Volos NFC,Lamia,Dimitrios Karantonis,1,0.00,0.00,1.41,0.94,2,1,3,2,2,0,"8,42","52",4,8,1,0,2,0,0,1,2,0,14,17,5,4,9,13,15,16,45,55,0.00,0.00,1.40,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.00,3.70,1.48,2.30,4.10,8.25,2.05,1.74,Panthessaliko Stadio (Volos)
1631462400,Sep 12 2021 - 4:00pm,complete,N/A,PAOK,PAS Giannina,Aristotelis Diamantopoulos,1,0.00,0.00,1.89,0.94,0,1,1,0,0,0,"","87",8,4,2,0,3,0,0,2,2,1,13,8,5,5,8,3,16,21,64,36,0.00,0.00,1.50,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.22,6.00,13.00,1.35,1.95,3.40,6.75,3.05,1.36,Stadio Toumbas (Thessaloníki)
1631467800,Sep 12 2021 - 5:30pm,complete,N/A,AEK Athens,Ionikos,Georgios Tzovaras,1,0.00,0.00,1.61,1.29,3,0,3,1,1,0,"7,62,66","",8,0,3,0,3,1,1,2,2,2,22,5,10,0,12,5,18,13,67,33,0.00,0.00,2.51,0.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.17,7.00,16.00,1.30,1.87,3.15,6.75,3.40,1.30,Olympiako Stadio Spyros Louis (Athína (Athens))
1631467800,Sep 12 2021 - 5:30pm,complete,N/A,Olympiakos Piraeus,Atromitos,Efstathios Gortsilas,1,0.00,0.00,2.39,0.71,0,0,0,0,0,0,"","",9,0,1,0,6,0,0,1,2,4,25,7,5,3,20,4,13,16,64,36,0.00,0.00,2.31,0.85,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.19,6.75,14.00,1.28,1.80,3.00,6.00,2.95,1.38,Stadio Georgios Karaiskáki (Pireás (Piraeus))
1631550600,Sep 13 2021 - 4:30pm,complete,N/A,Aris,OFI,Thanasis Tzilos,1,0.00,0.00,1.83,1.31,0,0,0,0,0,0,"","",9,2,1,0,3,0,0,1,1,2,20,2,4,0,16,2,12,19,64,36,0.00,0.00,2.17,0.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.45,4.05,7.00,1.45,2.20,4.05,8.25,2.55,1.49,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1631894400,Sep 17 2021 - 4:00pm,complete,N/A,Ionikos,Aris,Aristomenis Koutsiaftis,2,0.00,0.00,1.44,1.61,1,0,1,0,0,0,"86","",0,5,5,0,1,0,3,2,0,1,7,9,4,3,3,6,13,16,44,56,0.00,0.00,0.94,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.45,3.40,1.77,1.48,2.30,4.10,8.00,2.25,1.62,Dimotiko Gipedo Neapolis Nikaias (Athína (Athens))
1631986200,Sep 18 2021 - 5:30pm,complete,N/A,PAS Giannina,Panathinaikos,Ioannis Papadopoulos,2,0.00,0.00,1.61,1.06,1,0,1,1,1,0,"5","",5,8,4,0,2,0,1,3,1,1,7,12,3,3,4,9,18,13,26,74,0.00,0.00,0.81,1.35,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.85,3.20,2.40,1.36,2.15,3.90,7.75,2.05,1.74,Stadio Zosimades (Ioannina)
1632056400,Sep 19 2021 - 1:00pm,complete,N/A,Apollon Smirnis,Volos NFC,Konstantinos Perrakis,2,0.00,0.00,0.88,1.00,1,3,4,1,0,1,"65","4,49,63",6,1,2,0,3,0,0,2,2,1,15,8,5,5,10,3,19,20,60,40,0.00,0.00,1.60,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,2.85,3.30,1.50,2.35,4.10,8.25,2.05,1.74,Stadio Georgios Kamaras (Athína (Athens))
