timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1661583600,Aug 27 2022 - 7:00am,complete,N/A,Southern District,HK U23,Ho Wai Sing,1,0.00,0.00,1.78,0.00,2,0,2,1,1,0,"12,59","",9,2,0,0,2,0,0,0,1,1,9,3,6,0,3,3,7,12,50,50,0.00,0.00,1.51,0.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.07,12.00,19.00,0.00,1.29,1.84,0.00,0.00,0.00,Aberdeen Sports Ground (Hong Kong)
1661594400,Aug 27 2022 - 10:00am,complete,N/A,Eastern,Wofoo Tai Po,Fong Hei Lau,1,0.00,0.00,1.56,1.11,0,0,0,0,0,0,"","",8,3,1,0,4,0,0,1,1,3,7,9,2,4,5,5,14,10,61,39,0.00,0.00,1.13,1.18,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.20,5.50,1.08,1.33,1.88,3.00,1.50,2.51,Mong Kok Stadium (Hong Kong)
1661673600,Aug 28 2022 - 8:00am,complete,N/A,Warriors,Rangers,Ping Wun Tam,1,0.00,0.00,2.44,1.78,2,1,3,2,1,1,"16,80","41",4,4,4,0,2,1,2,2,1,2,12,12,6,6,6,6,18,12,50,50,0.00,0.00,1.57,1.51,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,3.90,4.80,1.15,1.46,2.25,3.75,1.60,2.20,Tseung Kwan O Sports Ground (Hong Kong)
1662188400,Sep 03 2022 - 7:00am,complete,N/A,Wofoo Tai Po,Tai Chung,N/A,2,0.00,0.00,1.11,1.11,1,2,3,0,0,0,"50","46,56",3,5,2,0,1,0,1,1,1,0,10,12,3,7,7,5,15,15,48,52,0.00,0.00,1.33,1.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,4.10,3.45,1.10,1.37,2.03,3.30,1.41,2.80,Tai Po Sports Ground (Tai Po)
1662199200,Sep 03 2022 - 10:00am,complete,N/A,Warriors,Southern District,N/A,2,3.00,0.00,2.44,1.67,1,3,4,1,1,0,"45'1","47,77,89",7,1,3,0,3,0,1,2,2,1,15,14,8,6,7,8,15,18,58,42,1.57,0.00,2.08,1.68,1.50,50,50,50,0,0,50,50,0,50,4.00,4.00,2.25,3.70,2.55,1.12,1.39,2.15,3.50,1.40,2.85,Tseung Kwan O Sports Ground (Hong Kong)
1662274800,Sep 04 2022 - 7:00am,complete,N/A,Sham Shui Po,Hong Kong,Liu Kwok Man,2,0.00,0.00,0.33,1.33,0,1,1,1,0,1,"","25",8,5,3,0,2,1,1,2,0,3,8,10,4,3,4,7,11,11,50,50,0.00,0.00,1.17,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.32,3.05,2.48,0.00,1.84,2.15,0.00,0.00,0.00,Sham Shui Po Sports Ground (Kowloon)
1663484400,Sep 18 2022 - 7:00am,complete,N/A,Sham Shui Po,Kitchee,Tang Hing Fu,1,0.00,0.00,0.33,2.33,0,10,10,3,0,3,"","2,8,39,49,55,73,75,78,81,83",3,11,2,1,0,0,1,2,0,0,4,35,3,21,1,14,6,4,29,71,1.17,0.00,0.58,4.07,0.50,0,0,0,0,0,0,50,0,0,8.00,3.00,23.00,9.00,1.09,1.07,1.24,1.71,2.56,2.20,1.60,Sham Shui Po Sports Ground (Kowloon)
1663495200,Sep 18 2022 - 10:00am,complete,N/A,Tai Chung,Hong Kong,Ping Wun Tam,1,0.00,3.00,0.89,1.33,1,1,2,1,0,1,"73","37",5,11,2,0,3,0,1,1,2,1,13,11,5,5,8,6,13,11,59,41,0.00,1.27,1.71,1.51,0.50,0,0,0,0,0,0,50,0,0,5.00,3.00,2.40,4.00,2.25,1.10,1.33,1.90,3.02,1.38,2.85,Tsing Yi Sports Ground (Tsing Yi)
1665817200,Oct 15 2022 - 7:00am,complete,N/A,Warriors,HK U23,Fong Hei Lau,3,1.50,0.00,2.44,0.00,10,0,10,6,6,0,"6,25,27,30,37,40,47,58,73,75","",8,6,1,0,1,0,0,1,0,1,31,6,21,5,10,1,5,6,59,41,1.82,0.38,3.78,0.85,2.75,50,100,50,25,0,25,100,25,100,7.50,5.50,1.13,7.55,14.25,1.05,1.30,1.77,2.65,1.98,1.73,Tseung Kwan O Sports Ground (Hong Kong)
1665828000,Oct 15 2022 - 10:00am,complete,N/A,Kitchee,Southern District,Ho Wai Sing,3,0.00,3.00,2.78,1.67,7,0,7,4,4,0,"10,12,35,45'4,51,82,84","",6,2,2,0,3,0,1,1,3,0,14,8,12,5,2,3,16,14,61,39,0.00,1.68,2.24,1.21,2.00,50,50,50,50,0,0,50,50,50,1.00,3.00,1.72,3.95,3.40,1.17,1.52,2.39,4.05,1.58,2.25,Mong Kok Stadium (Hong Kong)
1665903600,Oct 16 2022 - 7:00am,complete,N/A,Sham Shui Po,Wofoo Tai Po,Tang Hing Fu,3,0.00,1.00,0.33,1.11,0,4,4,1,0,1,"","9,66,75,78",7,4,2,0,2,0,0,2,0,2,12,18,3,12,9,6,11,14,52,48,0.88,1.18,1.21,2.25,2.75,0,25,25,25,25,25,50,25,25,8.50,7.00,4.50,4.50,1.50,1.10,1.40,2.08,3.28,1.50,2.40,Sham Shui Po Sports Ground (Kowloon)
1665903600,Oct 16 2022 - 7:00am,complete,N/A,Rangers,Hong Kong,N/A,3,0.00,2.00,1.89,1.33,0,1,1,0,0,0,"","70",8,3,1,0,4,0,0,1,2,2,10,9,5,4,5,5,17,16,61,39,0.00,1.39,1.46,1.11,0.75,25,25,0,0,0,0,50,0,25,8.00,3.00,1.80,3.60,3.60,1.20,1.65,2.55,4.50,1.63,2.10,Hammer Hill Road Sports Ground (Hong Kong)
1665914400,Oct 16 2022 - 10:00am,complete,N/A,Eastern,Tai Chung,Kin Fung Yu,3,1.00,3.00,1.56,1.11,4,0,4,4,4,0,"21,33,45,45'2","",6,2,2,0,3,0,0,2,2,1,9,6,7,4,2,2,11,17,61,39,1.13,1.73,1.56,0.96,1.50,50,50,50,0,0,0,0,50,50,13.00,2.00,1.29,5.81,8.51,1.07,1.31,1.88,2.78,1.61,2.15,Mong Kok Stadium (Hong Kong)
1667026800,Oct 29 2022 - 7:00am,complete,N/A,Eastern,Sham Shui Po,Kin Fung Yu,4,2.00,0.00,1.56,0.44,4,0,4,2,2,0,"27,33,50,88","",8,3,2,0,4,0,0,2,1,3,21,5,9,4,12,1,12,13,62,38,1.35,0.00,2.45,0.85,1.00,0,25,25,25,0,25,25,0,0,7.00,1.50,1.05,10.50,26.00,0.00,1.10,0.00,1.93,0.00,0.00,Mong Kok Stadium (Hong Kong)
1667037600,Oct 29 2022 - 10:00am,complete,N/A,Warriors,Kitchee,N/A,4,2.00,3.00,2.44,2.33,2,1,3,2,2,0,"17,44","75",3,7,6,1,6,0,1,6,2,4,8,14,4,6,4,8,16,14,32,68,2.47,4.07,0.93,1.63,7.84,34,100,100,84,67,84,100,84,100,17.33,2.67,2.90,4.20,1.91,1.13,1.50,2.20,3.48,1.48,2.45,Tseung Kwan O Sports Ground (Hong Kong)
1667113200,Oct 30 2022 - 7:00am,complete,N/A,Southern District,Hong Kong,Ping Wun Tam,4,3.00,2.33,1.78,1.33,0,0,0,0,0,0,"","",7,5,1,0,2,0,1,0,0,2,6,6,0,0,6,6,11,10,61,39,1.51,1.30,0.76,0.59,1.67,17,67,0,0,0,0,84,0,84,15.33,3.33,1.55,4.35,4.05,1.17,1.50,2.30,3.98,1.61,2.15,Aberdeen Sports Ground (Hong Kong)
1667113200,Oct 30 2022 - 7:00am,complete,N/A,Rangers,Wofoo Tai Po,Ho Wai Sing,4,0.00,2.00,1.89,1.11,1,1,2,1,1,0,"45'3","90'3",5,2,2,0,3,0,0,2,2,1,13,10,4,7,9,3,18,16,57,43,1.46,1.72,1.65,1.49,1.50,0,25,25,25,0,0,25,25,75,11.50,4.00,1.71,4.00,3.50,1.20,1.60,2.55,4.50,1.63,2.10,Hammer Hill Road Sports Ground (Hong Kong)
1667124000,Oct 30 2022 - 10:00am,complete,N/A,HK U23,Tai Chung,Tang Hing Fu,4,0.00,1.50,0.11,1.11,0,3,3,1,0,1,"","13,76,88",6,7,2,0,2,0,1,1,1,1,7,17,4,8,3,9,9,11,37,63,0.00,1.35,1.04,2.13,1.75,25,50,50,25,0,25,25,25,25,3.50,2.00,5.50,5.00,1.36,1.16,1.53,2.32,3.82,1.68,2.05,Tseung Kwan O Sports Ground (Hong Kong)
