timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1630065600,Aug 27 2021 - 12:00pm,complete,N/A,Bali United,Persik Kediri,N/A,1,0.00,0.00,2.00,0.94,1,0,1,0,0,0,"83","",6,6,2,0,1,0,0,2,0,1,9,9,6,3,3,6,-1,-1,58,42,0.00,0.00,1.27,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.47,4.00,5.50,1.22,1.73,2.76,5.10,1.79,1.94,Patriot Chandrabhaga Stadium
1630152000,Aug 28 2021 - 12:00pm,complete,N/A,Persipura,Persita,N/A,1,0.00,0.00,1.00,1.29,1,2,3,3,1,2,"16","15,23",-1,-1,2,0,2,0,2,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,4.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1630238400,Aug 29 2021 - 12:00pm,complete,N/A,Bhayangkara,Persiraja Banda Aceh,N/A,1,0.00,0.00,1.94,0.35,2,1,3,3,2,1,"8,45'2","32",-1,-1,4,0,2,0,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.33,4.20,7.00,0.00,1.93,0.00,0.00,0.00,0.00,N/A
1630656900,Sep 03 2021 - 8:15am,complete,N/A,PS TNI,Madura United,N/A,1,0.00,0.00,1.29,1.41,1,1,2,1,0,1,"66","40",4,4,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.25,2.88,3.80,1.85,3.84,8.00,1.87,1.85,N/A
1630743300,Sep 04 2021 - 8:15am,complete,N/A,PSIS Semarang,Persela,N/A,1,0.00,0.00,1.18,0.41,1,0,1,0,0,0,"90'1","",6,7,0,0,3,0,0,0,1,2,6,5,2,0,4,5,-1,-1,55,45,0.00,0.00,0.76,0.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.40,3.75,1.25,1.83,3.30,6.50,1.74,2.00,N/A
1630754100,Sep 04 2021 - 11:15am,complete,N/A,Borneo,Persebaya Surabaya,N/A,1,0.00,0.00,1.59,1.76,3,1,4,1,1,0,"8,48,61","75",1,1,0,0,3,0,0,0,1,2,7,8,5,3,2,5,-1,-1,45,55,0.00,0.00,0.99,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.75,3.90,1.32,1.87,3.10,5.75,1.95,1.67,N/A
1630762200,Sep 04 2021 - 1:30pm,complete,N/A,Persib,Barito Putera,N/A,1,0.00,0.00,1.53,1.35,1,0,1,0,0,0,"85","",7,3,3,0,1,0,0,3,1,0,10,3,5,2,5,1,-1,-1,48,52,0.00,0.00,1.34,0.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.43,3.95,5.75,1.22,1.75,3.05,6.00,1.84,1.89,Stadion Si Jalak Harupat
1630840500,Sep 05 2021 - 11:15am,complete,N/A,PSM,Arema,N/A,1,0.00,0.00,1.29,2.24,1,1,2,2,1,1,"23","22",5,6,2,0,2,1,1,1,1,2,11,7,3,3,8,4,-1,-1,60,40,0.00,0.00,1.21,0.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.15,1.87,1.27,1.77,2.80,4.80,1.71,1.91,N/A
1630848600,Sep 05 2021 - 1:30pm,complete,N/A,PSS Sleman,Persija,N/A,1,0.00,0.00,1.41,1.71,1,1,2,1,0,1,"67","17",3,8,2,0,3,0,0,2,1,2,9,10,5,4,4,6,-1,-1,46,54,0.00,0.00,1.07,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.30,1.71,1.33,1.95,3.15,5.75,1.87,1.74,N/A
1631261700,Sep 10 2021 - 8:15am,complete,N/A,Persela,Persipura,N/A,2,0.00,0.00,0.82,1.29,1,0,1,1,1,0,"12","",4,10,2,1,1,0,3,0,1,0,5,7,3,3,2,4,-1,-1,42,58,0.00,0.00,0.77,1.09,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.45,2.40,1.26,1.87,2.65,4.45,1.62,2.00,N/A
