Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
zTyK3RXE,22/08/2023,05:00,MONGOLIA - PREMIER LEAGUE,Deren,Khangarid,ROUND 4,1.31,5.5,6.24,,,,,,,1.25,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
n3uO2omL,22/08/2023,08:00,MONGOLIA - PREMIER LEAGUE,Khoromkhon,Khaan Khuns-Erchim,ROUND 4,8.05,7.5,1.21,,,,,,,1.18,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
z9ZT0Sod,22/08/2023,12:30,IRAN - PERSIAN GULF PRO LEAGUE,Mes Rafsanjan,Shams Azar Qazvin,ROUND 3,1.67,3.34,5.53,1.56,2.28,1.07,6.25,1.54,2.44,2.51,1.44,4.95,1.12,9.9,1.01,2.4,1.54,,,,,5.5,10.0,26.0,101.0,4.2,6.0,18.0,81.0,5.5,7.5,21.0,101.0,10.0,14.0,41.0,176.0,201.0
jXkpBAQb,22/08/2023,12:30,FINLAND - YKKONEN,JJK Jyvaskyla,Ekenas,-,4.0,3.75,1.67,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.73,2.0,,,,,13.0,8.0,8.5,13.0,13.0,8.0,8.5,13.0,23.0,15.0,15.0,23.0,41.0,34.0,34.0,51.0,201.0
KrKjnmY6,22/08/2023,13:00,ROMANIA - LIGA 2,Chindia Targoviste,Gloria Buzau,ROUND 3,2.08,3.26,3.43,1.44,2.58,1.05,8.0,1.35,2.84,2.18,1.67,3.74,1.21,7.9,1.05,1.87,1.89,,,,,7.5,8.5,13.0,31.0,6.0,5.5,10.0,23.0,9.0,8.0,13.0,36.0,17.0,15.0,26.0,67.0,101.0
WMyIVU7S,22/08/2023,13:30,AUSTRIA - 2. LIGA,Horn,Liefering,ROUND 2,2.84,3.74,2.29,1.28,3.48,1.02,13.3,1.15,4.55,1.59,2.36,2.34,1.5,4.05,1.18,1.48,2.57,,,,,12.0,9.0,11.0,20.0,10.0,6.0,7.5,12.0,14.0,8.0,8.5,15.0,23.0,15.0,17.0,26.0,176.0
rmAd5Xo1,22/08/2023,14:00,BELARUS - VYSSHAYA LIGA,Neman,FC Gomel,ROUND 18,1.59,3.94,5.75,1.41,2.78,1.02,8.6,1.3,3.08,2.02,1.79,3.42,1.25,6.5,1.06,2.02,1.71,,,,,,,,,,,,,,,,,,,,,
dK3Y9y7r,22/08/2023,14:00,GERMANY - 3. LIGA,Ulm,Arminia Bielefeld,ROUND 3,2.88,3.4,2.25,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.57,2.25,2.85,1.4,1.63,2.25,13.0,10.0,12.0,21.0,11.0,7.0,9.5,17.0,17.0,11.0,12.0,23.0,29.0,21.0,26.0,41.0,151.0
Qaek6g67,22/08/2023,14:00,GERMANY - 3. LIGA,SG Dynamo Dresden,Mannheim,ROUND 3,1.67,4.0,4.2,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.62,2.2,1.68,2.15,1.23,4.1,15.0,15.0,23.0,41.0,9.0,8.0,15.0,34.0,9.5,8.5,15.0,34.0,13.0,13.0,21.0,41.0,151.0
4p7t8Fye,22/08/2023,14:00,GERMANY - 3. LIGA,Preussen Munster,Ingolstadt,ROUND 3,2.5,3.4,2.5,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.62,2.2,2.5,1.5,1.5,2.5,13.0,10.0,13.0,26.0,10.0,6.5,10.0,19.0,13.0,10.0,13.0,26.0,26.0,19.0,26.0,41.0,151.0
n9do7Zj1,22/08/2023,14:00,GERMANY - 3. LIGA,Hallescher,Duisburg,ROUND 3,2.3,3.6,2.55,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.57,2.25,2.35,1.58,1.48,2.6,15.0,11.0,15.0,26.0,11.0,7.5,10.0,19.0,13.0,9.5,13.0,23.0,23.0,17.0,23.0,41.0,126.0
hSMeVowi,22/08/2023,14:00,GERMANY - 3. LIGA,Munich 1860,Lubeck,ROUND 3,1.62,3.75,4.75,1.36,3.0,1.04,12.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,1.8,1.91,1.65,2.2,1.19,4.5,12.0,13.0,26.0,51.0,7.5,7.5,15.0,41.0,8.0,8.5,15.0,41.0,13.0,13.0,23.0,51.0,251.0
KxwSa1wj,22/08/2023,14:00,DENMARK - 1ST DIVISION,Naestved,B.93,ROUND 6,2.25,3.6,3.0,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.5,2.5,2.15,1.68,1.38,3.0,15.0,13.0,19.0,34.0,11.0,7.0,11.0,21.0,13.0,9.5,11.0,23.0,21.0,15.0,21.0,34.0,101.0
vRLU0sOq,22/08/2023,14:00,DENMARK - 1ST DIVISION,Fredericia,Horsens,ROUND 6,2.63,3.5,2.55,1.3,3.4,1.03,15.0,1.17,5.0,1.6,2.3,2.38,1.53,4.33,1.2,1.5,2.5,2.5,1.5,1.5,2.5,15.0,12.0,15.0,26.0,12.0,7.0,10.0,19.0,15.0,10.0,11.0,23.0,26.0,19.0,23.0,34.0,101.0
AiDqxqff,22/08/2023,15:00,LIECHTENSTEIN - LIECHTENSTEIN CUP,Eschen B,Triesen,1/8-FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGSlZtvD,22/08/2023,15:00,LIECHTENSTEIN - LIECHTENSTEIN CUP,Ruggell,Vaduz,1/8-FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xvFyv5Ps,22/08/2023,15:00,LIECHTENSTEIN - LIECHTENSTEIN CUP,Schaan,Eschen,1/8-FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0EuwPvl,22/08/2023,15:00,LIECHTENSTEIN - LIECHTENSTEIN CUP,Triesen B,Triesenberg,1/8-FINALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
