Equipe,GP,W,D,L,GF,GA,GD,Pts,algeria
Paradou AC,8,5,2,1,18,5,13,17,algeria
MC Alger,8,4,3,1,8,4,4,15,algeria
CR Belouizdad,8,3,3,2,10,6,4,12,algeria
CS Constantine,8,3,2,3,14,13,1,11,algeria
USM Alger,8,3,1,4,8,8,0,10,algeria
US Biskra,8,2,4,2,6,7,-1,10,algeria
NC Magra,8,2,2,4,4,10,-6,8,algeria
ES Setif,8,2,1,5,8,13,-5,7,algeria
JS Kabylie,8,1,2,5,7,11,-4,5,algeria
El Bayadh,8,0,5,3,4,8,-4,5,algeria
MC Oran,8,1,2,5,4,10,-6,5,algeria
Khenchela,8,1,2,5,3,12,-9,5,algeria
Ben Aknoun,8,0,4,4,5,10,-5,4,algeria
JS Saoura,8,1,1,6,4,16,-12,4,algeria
US Souf,8,1,0,7,4,16,-12,3,algeria
ASO Chlef,8,0,2,6,7,15,-8,2,algeria
UE Santa Coloma,8,7,1,0,18,4,14,22,andorra
A. Escaldes,8,6,2,0,28,5,23,20,andorra
Inter Escaldes,8,6,1,1,18,3,15,19,andorra
FC Santa Coloma,8,6,1,1,20,8,12,19,andorra
Penya Encarnada,8,4,1,3,10,9,1,13,andorra
Ordino,8,3,1,4,9,10,-1,10,andorra
Carroi,8,2,1,5,11,23,-12,7,andorra
Pas de la Casa,8,1,3,4,5,9,-4,6,andorra
Esperanca,8,1,0,7,11,34,-23,3,andorra
A. America,8,1,0,7,2,29,-27,3,andorra
Godoy Cruz,4,4,0,0,7,0,7,12,argentina
Independiente,5,3,2,0,6,2,4,11,argentina
Instituto,3,3,0,0,7,1,6,9,argentina
Lanus,4,3,0,1,7,1,6,9,argentina
Newells,4,3,0,1,6,3,3,9,argentina
River Plate,4,2,2,0,7,2,5,8,argentina
Racing Club,4,2,2,0,5,0,5,8,argentina
Barracas C.,4,2,2,0,4,1,3,8,argentina
Estudiantes,4,2,2,0,4,2,2,8,argentina
Union Santa Fe,4,2,2,0,3,1,2,8,argentina
T. de Cordoba,5,2,2,1,8,7,1,8,argentina
Defensa y J.,5,2,2,1,5,5,0,8,argentina
Banfield,5,1,3,1,7,6,1,6,argentina
Gimnasia,5,2,0,3,4,7,-3,6,argentina
Boca Juniors,5,1,2,2,4,4,0,5,argentina
Velez Sarsfield,4,1,2,1,3,7,-4,5,argentina
Sarmiento,5,1,2,2,3,8,-5,5,argentina
Central Cordoba,5,1,1,3,2,5,-3,4,argentina
Rosario Central,6,1,1,4,3,9,-6,4,argentina
Platense,5,1,1,3,3,10,-7,4,argentina
San Lorenzo,4,0,3,1,4,7,-3,3,argentina
Huracan,5,1,0,4,3,8,-5,3,argentina
I. Rivadavia,5,1,0,4,5,11,-6,3,argentina
Argentinos Jrs,4,0,2,2,3,5,-2,2,argentina
D. Riestra,4,0,2,2,1,5,-4,2,argentina
Belgrano,4,0,1,3,3,6,-3,1,argentina
A. Tucuman,4,0,1,3,0,6,-6,1,argentina
Tigre,5,0,1,4,2,10,-8,1,argentina
D. de Belgrano,3,3,0,0,8,0,8,9,argentina3
Atlanta,3,2,1,0,3,1,2,7,argentina3
Aldosivi,2,2,0,0,4,0,4,6,argentina3
Agropecuario,2,1,1,0,4,2,2,4,argentina3
Colon Santa Fe,2,1,1,0,2,1,1,4,argentina3
Quilmes,2,1,1,0,2,1,1,4,argentina3
E. Caseros,2,1,1,0,1,0,1,4,argentina3
T. Remedios,2,1,1,0,1,0,1,4,argentina3
San Telmo,3,1,1,1,3,3,0,4,argentina3
Tristan Suarez,3,1,1,1,3,3,0,4,argentina3
Deportivo Moron,2,1,0,1,3,2,1,3,argentina3
Chacarita J.,2,1,0,1,2,1,1,3,argentina3
SM San Juan,2,1,0,1,2,1,1,3,argentina3
SM Tucuman,2,1,0,1,2,1,1,3,argentina3
Ferro Carril,3,1,0,2,4,5,-1,3,argentina3
Gimnasia Jujuy,3,1,0,2,3,4,-1,3,argentina3
A. Rafaela,3,1,0,2,1,3,-2,3,argentina3
Patronato,3,1,0,2,1,5,-4,3,argentina3
Gimnasia y Tiro,2,0,2,0,1,1,0,2,argentina3
Atletico Mitre,2,0,2,0,0,0,0,2,argentina3
Alvarado,3,0,2,1,3,4,-1,2,argentina3
Racing Cordoba,3,0,2,1,2,3,-1,2,argentina3
CA Guemes,3,0,2,1,1,2,-1,2,argentina3
San Miguel,3,0,2,1,1,2,-1,2,argentina3
Temperley,3,0,2,1,2,4,-2,2,argentina3
Almirante Brown,2,0,1,1,1,2,-1,1,argentina3
Arsenal Sarandi,2,0,1,1,1,2,-1,1,argentina3
All Boys,2,0,1,1,0,1,-1,1,argentina3
Chaco For Ever,2,0,1,1,1,3,-2,1,argentina3
Noah,8,6,0,2,15,6,9,18,armenia
Ararat-Armenia,8,5,2,1,12,5,7,17,armenia
Pyunik,8,4,3,1,17,9,8,15,armenia
Ararat Yerevan,8,3,1,4,13,13,0,10,armenia
Alashkert,8,2,1,5,12,13,-1,7,armenia
