Equipe,2,3,4,5,6,7,8,9,Liga
,GP,W,D,L,GF,GA,GD,Pts,algeria
MC Alger,8,7,1,0,22,4,18,22,algeria
CR Belouizdad,8,6,1,1,13,5,8,19,algeria
JS Kabylie,8,5,3,0,9,4,5,18,algeria
CS Constantine,8,5,2,1,14,5,9,17,algeria
El Bayadh,8,5,2,1,12,3,9,17,algeria
ES Setif,8,5,2,1,12,9,3,17,algeria
Khenchela,8,5,1,2,10,5,5,16,algeria
USM Alger,8,5,1,2,14,10,4,16,algeria
JS Saoura,8,4,3,1,10,7,3,15,algeria
ASO Chlef,8,4,2,2,8,5,3,14,algeria
NC Magra,8,3,3,2,9,7,2,12,algeria
US Biskra,8,3,3,2,6,8,-2,12,algeria
Paradou AC,8,2,4,2,2,2,0,10,algeria
Ben Aknoun,8,2,3,3,9,9,0,9,algeria
MC Oran,8,2,2,4,6,12,-6,8,algeria
US Souf,8,1,0,7,11,22,-11,3,algeria
Inter Escaldes,8,8,0,0,26,3,23,24,andorra
A. Escaldes,8,6,1,1,24,7,17,19,andorra
FC Santa Coloma,8,6,0,2,21,7,14,18,andorra
Ordino,8,5,3,0,15,4,11,18,andorra
UE Santa Coloma,8,5,2,1,20,3,17,17,andorra
Penya Encarnada,8,3,2,3,14,9,5,11,andorra
Esperanca,8,1,1,6,2,20,-18,4,andorra
A. America,8,1,0,7,11,27,-16,3,andorra
Pas de la Casa,8,0,2,6,5,21,-16,2,andorra
Carroi,8,0,1,7,3,27,-24,1,andorra
Estudiantes,4,3,1,0,5,0,5,10,argentina
Argentinos Jrs,3,3,0,0,8,3,5,9,argentina
Godoy Cruz,3,2,1,0,3,0,3,7,argentina
Lanus,4,2,1,1,6,4,2,7,argentina
Rosario Central,3,2,1,0,3,1,2,7,argentina
Barracas C.,4,2,1,1,5,4,1,7,argentina
River Plate,4,1,3,0,8,3,5,6,argentina
Racing Club,4,2,0,2,7,4,3,6,argentina
T. de Cordoba,3,2,0,1,6,3,3,6,argentina
Velez Sarsfield,3,2,0,1,4,2,2,6,argentina
Belgrano,4,1,2,1,7,5,2,5,argentina
Boca Juniors,3,1,2,0,3,1,2,5,argentina
Platense,3,1,2,0,2,1,1,5,argentina
San Lorenzo,4,1,2,1,3,3,0,5,argentina
Instituto,5,1,2,2,5,6,-1,5,argentina
Defensa y J.,2,1,1,0,4,1,3,4,argentina
Gimnasia,3,1,1,1,5,4,1,4,argentina
Union Santa Fe,4,1,1,2,5,5,0,4,argentina
Central Cordoba,3,1,0,2,3,3,0,3,argentina
A. Tucuman,3,0,3,0,1,1,0,3,argentina
I. Rivadavia,3,1,0,2,2,3,-1,3,argentina
Independiente,3,1,0,2,1,2,-1,3,argentina
D. Riestra,4,1,0,3,2,6,-4,3,argentina
Newells,3,1,0,2,1,5,-4,3,argentina
Huracan,3,0,2,1,1,2,-1,2,argentina
Sarmiento,3,0,1,2,2,4,-2,1,argentina
Tigre,3,0,1,2,0,3,-3,1,argentina
Banfield,3,0,1,2,0,4,-4,1,argentina
Colon Santa Fe,3,3,0,0,8,2,6,9,argentina3
Quilmes,3,2,1,0,3,0,3,7,argentina3
Gimnasia y Tiro,2,2,0,0,3,0,3,6,argentina3
Alvarado,2,2,0,0,3,1,2,6,argentina3
SM San Juan,2,2,0,0,3,1,2,6,argentina3
Atletico Mitre,2,2,0,0,2,0,2,6,argentina3
Gimnasia Jujuy,2,2,0,0,2,0,2,6,argentina3
A. Rafaela,2,1,1,0,4,1,3,4,argentina3
Arsenal Sarandi,2,1,1,0,3,1,2,4,argentina3
Chacarita J.,2,1,1,0,3,1,2,4,argentina3
Agropecuario,2,1,1,0,2,1,1,4,argentina3
Almagro,2,1,1,0,2,1,1,4,argentina3
CA Guemes,2,1,1,0,2,1,1,4,argentina3
Guillermo Brown,2,1,1,0,2,1,1,4,argentina3
San Telmo,2,1,1,0,2,1,1,4,argentina3
T. Remedios,3,1,1,1,2,1,1,4,argentina3
All Boys,2,1,1,0,1,0,1,4,argentina3
D. de Belgrano,2,1,1,0,1,0,1,4,argentina3
Defensores U.,2,1,1,0,1,0,1,4,argentina3
Temperley,1,1,0,0,4,1,3,3,argentina3
Nueva Chicago,1,1,0,0,1,0,1,3,argentina3
E. Caseros,2,1,0,1,2,2,0,3,argentina3
E. Rio Cuarto,2,1,0,1,2,2,0,3,argentina3
SM Tucuman,2,1,0,1,2,2,0,3,argentina3
Aldosivi,2,1,0,1,1,1,0,3,argentina3
Deportivo Moron,2,1,0,1,3,4,-1,3,argentina3
Brown de A.,1,0,1,0,2,2,0,1,argentina3
Atlanta,1,0,1,0,0,0,0,1,argentina3
Patronato,1,0,1,0,0,0,0,1,argentina3
Ararat-Armenia,8,7,0,1,23,9,14,21,armenia
Pyunik,8,6,2,0,22,6,16,20,armenia
Noah,8,6,1,1,20,6,14,19,armenia
Urartu,8,5,1,2,13,10,3,16,armenia
Alashkert,8,4,3,1,11,6,5,15,armenia
BKMA,8,3,1,4,14,15,-1,10,armenia
Van,8,3,1,4,13,15,-2,10,armenia
Ararat Yerevan,8,3,1,4,6,12,-6,10,armenia
Shirak,8,2,2,4,7,10,-3,8,armenia
West Armenia,8,2,1,5,11,19,-8,7,armenia
Central Coast,8,5,2,1,17,9,8,17,australia
Wellington,8,5,2,1,13,7,6,17,australia
Sydney FC,8,5,1,2,17,10,7,16,australia
Melbourne City,8,3,4,1,17,8,9,13,australia
Western Sydney,8,4,1,3,18,11,7,13,australia
Perth Glory,8,4,1,3,18,15,3,13,australia
Melbourne V.,8,3,3,2,10,6,4,12,australia
Newcastle Jets,8,2,4,2,13,12,1,10,australia
Macarthur FC,8,2,4,2,16,18,-2,10,australia
Brisbane Roar,8,2,3,3,15,16,-1,9,australia
Adelaide Utd,8,2,3,3,14,18,-4,9,australia
Western United,8,2,1,5,8,11,-3,7,australia
Sturm Graz,8,5,2,1,13,6,7,17,austria
LASK Linz,8,5,2,1,11,4,7,17,austria
Hartberg,8,5,2,1,11,6,5,17,austria
Salzburg,8,5,1,2,17,5,12,16,austria
Austria Wien,8,4,4,0,12,4,8,16,austria
Wolfsberger AC,8,4,0,4,13,11,2,12,austria
A. Klagenfurt,8,3,3,2,10,11,-1,12,austria
BW Linz,8,2,5,1,8,5,3,11,austria
Rapid Wien,8,2,4,2,14,12,2,10,austria
Altach,8,2,2,4,8,9,-1,8,austria
Tirol,8,1,0,7,10,18,-8,3,austria
A. Lustenau,8,0,0,8,5,26,-21,0,austria
Grazer AK,8,7,0,1,16,3,13,21,austria2
Ried,8,5,2,1,21,6,15,17,austria2
SV Horn,8,5,0,3,15,9,6,15,austria2
Admira Wacker,8,4,3,1,12,9,3,15,austria2
Floridsdorfer,8,4,2,2,12,6,6,14,austria2
Leoben,8,4,1,3,16,10,6,13,austria2
Stripfing,8,4,1,3,14,15,-1,13,austria2
First Vienna,8,3,3,2,12,10,2,12,austria2
Lafnitz,8,4,0,4,15,16,-1,12,austria2
Bregenz,8,3,2,3,9,8,1,11,austria2
Liefering,8,2,4,2,11,11,0,10,austria2
St. Polten,8,3,0,5,10,11,-1,9,austria2
Kapfenberger,8,2,3,3,11,15,-4,9,austria2
Sturm Graz B,8,1,4,3,10,18,-8,7,austria2
Dornbirn,8,2,0,6,7,17,-10,6,austria2
Amstetten,8,0,2,6,8,16,-8,2,austria2
Qarabag,8,7,1,0,28,6,22,22,azerbaijan
Turan,8,5,2,1,18,9,9,17,azerbaijan
Neftci,8,5,1,2,12,7,5,16,azerbaijan
Sumqayit,8,4,3,1,7,7,0,15,azerbaijan
Araz,8,4,2,2,8,7,1,14,azerbaijan
Sabah,8,3,3,2,13,8,5,12,azerbaijan
Sebail,8,3,3,2,12,9,3,12,azerbaijan
Kapaz,8,3,2,3,10,12,-2,11,azerbaijan
Zira,8,2,4,2,6,6,0,10,azerbaijan
Qabala,8,2,1,5,7,12,-5,7,azerbaijan
Muharraq,7,4,3,0,12,7,5,15,bahrain
Al Ahli M.,6,4,1,1,11,6,5,13,bahrain
Al Riffa,6,4,1,1,10,6,4,13,bahrain
Khalidiya,6,3,3,0,17,7,10,12,bahrain
Al-Najma,5,3,1,1,10,7,3,10,bahrain
East Riffa,6,2,3,1,9,9,0,9,bahrain
Manama,7,2,2,3,9,9,0,8,bahrain
Al Shabbab,5,2,1,2,6,6,0,7,bahrain
Al Hala,6,2,0,4,5,12,-7,6,bahrain
Sitra,5,1,2,2,5,7,-2,5,bahrain
Busaiteen,6,1,2,3,8,12,-4,5,bahrain
Al-Hidd,5,1,0,4,6,12,-6,3,bahrain
Bashundhara K.,6,4,1,1,17,7,10,13,bangladesh
Sheikh Russel,5,2,2,1,6,3,3,8,bangladesh
Fortis,5,2,2,1,8,7,1,8,bangladesh
Sheikh Jamal,5,2,0,3,3,7,-4,6,bangladesh
Abahani,4,1,2,1,6,6,0,5,bangladesh
Rahmatgonj,4,0,4,0,4,4,0,4,bangladesh
Mohammedan,4,0,4,0,3,3,0,4,bangladesh
Chittagong,3,1,1,1,4,5,-1,4,bangladesh
B. Police,5,1,0,4,5,9,-4,3,bangladesh
Brothers Union,4,0,0,4,4,14,-10,0,bangladesh
Dinamo Minsk,8,6,1,1,22,7,15,19,belarus
Neman Grodno,8,5,2,1,19,6,13,17,belarus
BATE Borisov,8,5,0,3,18,12,6,15,belarus
Isloch,8,4,2,2,14,9,5,14,belarus
FC Minsk,8,4,2,2,7,5,2,14,belarus
Slutsk,8,3,3,2,12,11,1,12,belarus
S. Soligorsk,8,4,0,4,11,13,-2,12,belarus
Gomel,8,4,0,4,16,20,-4,12,belarus
Slavia Mozyr,8,3,2,3,7,7,0,11,belarus
Dinamo Brest,8,3,2,3,13,15,-2,11,belarus
T. Zhodino,8,1,6,1,7,7,0,9,belarus
Naftan,8,2,3,3,11,17,-6,9,belarus
Smorgon,8,2,2,4,9,13,-4,8,belarus
Energetik-BGU,8,2,0,6,10,17,-7,6,belarus
Belshina,8,1,1,6,4,17,-13,4,belarus
Vitebsk,8,7,1,0,20,4,16,22,belarus2
Dnepr Mogilev,8,7,1,0,16,2,14,22,belarus2
Arsenal D.,8,7,0,1,30,7,23,21,belarus2
Maxline,8,7,0,1,24,11,13,21,belarus2
