timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627005600,Jul 23 2021 - 2:00am,complete,N/A,Querétaro,América,Marco Antonio Ortíz Nava,1,0.00,0.00,1.24,1.45,0,0,0,0,0,0,"","",0,8,2,0,2,0,1,1,1,1,5,17,2,4,3,13,11,16,43,57,0.00,0.00,0.61,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.30,2.00,1.48,2.30,4.05,8.00,2.10,1.69,Estadio La Corregidora (Santiago de Querétaro)
1627084800,Jul 24 2021 - 12:00am,complete,N/A,Necaxa,Santos Laguna,Jorge Antonio Pérez Durán,1,0.00,0.00,1.24,1.11,0,3,3,2,0,2,"","23,42,57",6,7,2,0,2,0,2,0,1,1,23,15,7,6,16,9,13,16,54,46,0.00,0.00,2.27,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,3.15,2.65,1.45,2.25,3.80,7.50,1.91,1.87,Estadio Victoria de Aguascalientes (Aguascalientes)
1627092000,Jul 24 2021 - 2:00am,complete,N/A,Juárez,Toluca,Jorge Isaac Rojas Castillo,1,0.00,0.00,0.88,1.29,1,3,4,2,1,1,"35","6,64,89",9,8,1,0,1,0,1,0,0,1,8,17,2,6,6,11,8,7,40,60,0.00,0.00,1.02,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.10,2.80,1.43,2.15,3.65,7.00,1.91,1.83,Estadio Olímpico Benito Juárez (Ciudad Juárez)
1627160400,Jul 24 2021 - 9:00pm,complete,N/A,Pachuca,León,Alejandro Funk Villafañe,1,0.00,0.00,2.00,1.40,4,0,4,0,0,0,"59,61,75,90'1","",3,3,1,0,1,0,1,0,0,1,19,9,9,2,10,7,9,16,42,58,0.00,0.00,2.12,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.35,3.25,1.29,1.80,2.90,5.25,1.69,2.10,Estadio Hidalgo (Pachuca de Soto)
1627178400,Jul 25 2021 - 2:00am,complete,N/A,Guadalajara,Atlético San Luis,Eduardo Galván Basulto,1,0.00,0.00,1.47,1.25,1,2,3,1,0,1,"78","12,65",7,3,0,0,0,0,0,0,0,0,17,9,9,5,8,4,14,19,69,31,0.00,0.00,2.11,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,3.40,5.25,1.43,2.20,3.85,7.25,2.10,1.71,Estadio AKRON (Zapopan)
1627232400,Jul 25 2021 - 5:00pm,complete,N/A,Pumas UNAM,Atlas,Luis Enrique Santander Aguirre,1,0.00,0.00,1.58,1.61,0,0,0,0,0,0,"","",2,7,0,0,1,0,0,0,0,1,11,22,4,8,7,14,10,11,43,57,0.00,0.00,1.11,2.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.65,3.25,2.20,1.42,2.22,4.20,8.50,2.10,1.69,Estadio Olímpico de Universitario (Ciudad de México (D.F.))
1627257960,Jul 26 2021 - 12:06am,complete,N/A,Monterrey,Puebla,Óscar Mejía García,1,0.00,0.00,1.79,1.42,1,1,2,0,0,0,"88","90",9,4,2,1,2,2,0,3,1,3,17,9,5,4,12,5,11,9,53,47,0.00,0.00,1.88,1.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.71,3.60,4.90,1.33,1.95,3.20,6.00,1.91,1.83,Estadio BBVA (Guadalupe)
1627265160,Jul 26 2021 - 2:06am,complete,N/A,Tijuana,Tigres UANL,Oscar Macias Romo,1,0.00,0.00,1.35,1.48,1,2,3,1,0,1,"74","8,56",3,1,1,0,1,0,0,1,0,1,11,6,5,4,6,2,11,8,52,48,0.00,0.00,1.41,0.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.20,3.00,1.36,2.00,3.30,6.25,1.80,1.95,Estadio Caliente (Tijuana)
1627347600,Jul 27 2021 - 1:00am,complete,N/A,Cruz Azul,Mazatlán,Diego Montaño Robles,1,0.00,0.00,1.25,0.72,0,2,2,1,0,1,"","45'1,66",4,3,1,0,2,0,1,0,0,2,10,7,7,3,3,4,12,10,62,38,0.00,0.00,1.57,0.89,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.49,3.95,6.75,1.36,1.95,3.35,6.50,2.05,1.71,Estadio Azteca (Ciudad de México (D.F.))
1627689600,Jul 31 2021 - 12:00am,complete,N/A,Mazatlán,Pachuca,Edgar Ulises Rangel Araújo,2,0.00,0.00,1.71,1.35,2,1,3,2,1,1,"45'2,83","20",4,6,1,0,1,0,0,1,1,0,9,9,2,4,7,5,11,14,47,53,0.00,0.00,1.08,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.25,2.05,1.36,2.00,3.30,6.00,1.80,1.95,Estadio de Mazatlán (Mazatlán)
