timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1675456200,Feb 03 2023 - 8:30pm,complete,N/A,Real Garcilaso,Sport Huancayo,Jesús Cartagena,3,0.00,0.00,2.28,0.94,0,3,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.12,3.04,3.14,0.00,1.86,0.00,0.00,1.73,2.00,Estadio Inca Garcilaso de la Vega (Cusco)
1675533600,Feb 04 2023 - 6:00pm,complete,N/A,Atlético Grau,Melgar,Edwin Ordóñez,3,0.00,0.00,1.56,1.61,3,0,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.60,3.10,2.00,1.28,1.81,3.10,6.00,1.70,2.10,Estadio Municipal de Bernal (Humay)
1675542600,Feb 04 2023 - 8:30pm,complete,N/A,UTC Cajamarca,Cienciano,Hilbert Villegas,3,0.00,0.00,1.72,0.78,3,0,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.36,3.14,2.87,1.22,1.85,2.75,4.75,1.60,2.15,Estadio Héroes de San Ramón (Cajamarca)
1675542600,Feb 04 2023 - 8:30pm,complete,N/A,Universitario,Academia Cantolao,Diego Mirko Haro Sueldo,3,0.00,0.00,2.63,0.61,4,0,4,1,1,0,"37,65,82,90'5","",8,1,1,1,3,1,1,1,3,1,18,4,8,2,10,2,-1,-1,50,50,0.00,0.00,2.25,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.43,4.47,7.11,1.25,1.77,3.10,5.50,1.93,1.77,Estadio Monumental (Lima)
1675557000,Feb 05 2023 - 12:30am,complete,N/A,Deportivo Garcilaso,Deportivo Binacional,Jordi Estanley Espinoza Valles,3,0.00,0.00,1.56,0.17,3,0,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.06,3.25,3.20,1.30,1.91,3.30,6.50,1.75,2.05,Estadio Inca Garcilaso de la Vega (Cusco)
1675609200,Feb 05 2023 - 3:00pm,complete,N/A,Sporting Cristal,Alianza Lima,Kevin Ortega,3,0.00,0.00,2.44,1.79,3,0,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,3.10,2.65,1.33,1.91,3.60,6.50,1.78,2.00,Estadio Alberto Gallardo (Lima)
1675706400,Feb 06 2023 - 6:00pm,complete,N/A,Sport Boys,Unión Comercio,Micke Palomino,3,0.00,0.00,1.39,0.56,2,1,3,0,0,0,"85,88","81",9,2,3,0,5,0,1,2,3,2,19,10,8,4,11,6,17,21,50,50,0.00,0.00,2.17,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.94,3.20,3.49,1.30,1.86,3.30,6.00,1.75,2.05,Estadio Alberto Gallardo (Lima)
1675715400,Feb 06 2023 - 8:30pm,complete,N/A,César Vallejo,Alianza Atlético,Roberto Pérez Gutierrez,3,0.00,0.00,1.72,0.39,2,2,4,0,0,0,"72,85","60,67",6,1,1,0,1,1,0,1,1,1,14,8,6,4,8,4,13,15,54,46,0.00,0.00,1.69,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.69,3.54,4.13,1.22,1.70,2.80,5.00,1.68,2.15,Estadio Mansiche (Trujillo)
1675792800,Feb 07 2023 - 6:00pm,complete,N/A,Deportivo Municipal,Carlos Manucci,Joel Alarcón,3,0.00,0.00,1.11,1.00,0,3,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.20,2.90,1.36,2.05,3.75,7.50,1.87,1.90,Estadio Municipal Iván Elías Moreno (Lima)
1676073600,Feb 11 2023 - 12:00am,complete,N/A,Cienciano,Real Garcilaso,Diego Mirko Haro Sueldo,4,0.00,0.00,1.89,0.50,2,0,2,1,1,0,"9,83","",2,2,5,0,2,1,2,3,2,1,3,0,3,0,0,0,3,8,54,46,0.00,0.00,0.40,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.74,3.39,4.07,0.00,1.60,0.00,0.00,1.73,2.00,Estadio Inca Garcilaso de la Vega (Cusco)
