league,Equipe,0_15_mar,0_15_sofri
Argentina - Liga Profesional,A. Tucuman,0,1
Argentina - Liga Profesional,Argentinos Jrs,2,0
Argentina - Liga Profesional,Arsenal Sarandi,2,3
Argentina - Liga Profesional,Banfield,2,3
Argentina - Liga Profesional,Barracas C.,4,1
Argentina - Liga Profesional,Belgrano,0,4
Argentina - Liga Profesional,Boca Juniors,0,1
Argentina - Liga Profesional,Central Cordoba,3,3
Argentina - Liga Profesional,Colon Santa Fe,2,0
Argentina - Liga Profesional,Defensa y J.,3,1
Argentina - Liga Profesional,Estudiantes,3,1
Argentina - Liga Profesional,Gimnasia,2,1
Argentina - Liga Profesional,Godoy Cruz,0,2
Argentina - Liga Profesional,Huracan,2,1
Argentina - Liga Profesional,Independiente,1,3
Argentina - Liga Profesional,Instituto,3,3
Argentina - Liga Profesional,Lanus,4,1
Argentina - Liga Profesional,Newells,3,3
Argentina - Liga Profesional,Platense,2,3
Argentina - Liga Profesional,Racing Club,1,5
Argentina - Liga Profesional,River Plate,3,1
Argentina - Liga Profesional,Rosario Central,3,3
Argentina - Liga Profesional,San Lorenzo,2,1
Argentina - Liga Profesional,Sarmiento,1,1
Argentina - Liga Profesional,T. de Cordoba,8,1
Argentina - Liga Profesional,Tigre,1,4
Argentina - Liga Profesional,Union Santa Fe,0,2
Argentina - Liga Profesional,Velez Sarsfield,0,1
Argentina - Primera B,A. Quilmes,0,1
Argentina - Primera B,Acassuso,1,2
Argentina - Primera B,Argentino Merlo,0,1
Argentina - Primera B,Canuelas,0,1
Argentina - Primera B,Colegiales,2,2
Argentina - Primera B,Comunicaciones,1,2
Argentina - Primera B,D. Armenio,1,0
Argentina - Primera B,Deportivo Merlo,0,2
Argentina - Primera B,Dock Sud,2,3
Argentina - Primera B,Fenix,0,2
Argentina - Primera B,Ituzaingo,2,3
Argentina - Primera B,Los Andes,2,0
Argentina - Primera B,Sacachispas,0,0
Argentina - Primera B,San Miguel,1,0
Argentina - Primera B,T. Remedios,0,2
Argentina - Primera B,UAI Urquiza,2,1
Argentina - Primera B,V. San Carlos,3,0
Armenia - Premier League,Alashkert,0,0
Armenia - Premier League,Ararat Yerevan,1,1
Armenia - Premier League,Ararat-Armenia,0,0
Armenia - Premier League,BKMA,0,0
Armenia - Premier League,Noah,0,0
Armenia - Premier League,Pyunik,0,0
Armenia - Premier League,Shirak,0,2
Armenia - Premier League,Urartu,0,0
Armenia - Premier League,Van,0,1
Armenia - Premier League,West Armenia,0,0
Australia - A-League,Adelaide Utd,6,2
Australia - A-League,Brisbane Roar,1,3
Australia - A-League,Central Coast,1,2
Australia - A-League,Macarthur FC,2,4
Australia - A-League,Melbourne City,2,1
Australia - A-League,Melbourne V.,0,4
Australia - A-League,Newcastle Jets,2,1
Australia - A-League,Perth Glory,0,2
Australia - A-League,Sydney FC,3,4
Australia - A-League,Wellington,4,3
Australia - A-League,Western Sydney,1,1
Australia - A-League,Western United,2,3
Austria - Bundesliga,A. Klagenfurt,1,0
Austria - Bundesliga,A. Lustenau,0,0
Austria - Bundesliga,Altach,0,0
Austria - Bundesliga,Austria Wien,0,0
Austria - Bundesliga,BW Linz,0,2
Austria - Bundesliga,Hartberg,0,1
Austria - Bundesliga,LASK Linz,0,0
Austria - Bundesliga,Rapid Wien,0,0
Austria - Bundesliga,Salzburg,0,0
Austria - Bundesliga,Sturm Graz,1,0
Austria - Bundesliga,Tirol,0,0
Austria - Bundesliga,Wolfsberger AC,0,0
Austria - 2. Liga,Admira Wacker,0,0
Austria - 2. Liga,Amstetten,0,0
Austria - 2. Liga,Bregenz,0,0
Austria - 2. Liga,Dornbirn,0,0
Austria - 2. Liga,First Vienna,0,2
Austria - 2. Liga,Floridsdorfer,0,0
Austria - 2. Liga,Grazer AK,1,0
Austria - 2. Liga,Kapfenberger,0,1
Austria - 2. Liga,Lafnitz,0,0
Austria - 2. Liga,Leoben,1,0
Austria - 2. Liga,Liefering,1,0
Austria - 2. Liga,Ried,0,1
Austria - 2. Liga,St. Polten,1,0
Austria - 2. Liga,Stripfing,0,0
Austria - 2. Liga,Sturm Graz B,0,0
Austria - 2. Liga,SV Horn,1,0
Belgium - First Division A,Anderlecht,0,0
Belgium - First Division A,Antwerp,0,0
Belgium - First Division A,Cercle Brugge,0,0
Belgium - First Division A,Charleroi,0,0
Belgium - First Division A,Club Brugge,1,0
Belgium - First Division A,Eupen,1,0
Belgium - First Division A,Gent,0,0
Belgium - First Division A,Kortrijk,1,2
Belgium - First Division A,KRC Genk,0,0
