timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1677645000,Mar 01 2023 - 4:30am,complete,N/A,Gyeongnam,Bucheon 1995,Hyun-Jin Oh,1,0.00,0.00,1.26,1.21,1,0,1,0,0,0,"52","",5,11,1,0,0,0,0,1,0,0,15,13,5,3,10,10,13,11,43,57,0.00,0.00,2.02,1.64,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.58,3.28,2.61,1.28,2.00,3.28,6.25,1.73,2.00,Changwon Football Center (Changwon)
1677645000,Mar 01 2023 - 4:30am,complete,N/A,Cheonan City,Busan I'Park,Hoe-Soo Jung,1,0.00,0.00,0.83,1.89,2,3,5,4,1,3,"29,48","7,11,40",6,3,3,0,3,0,2,1,0,3,6,13,3,7,3,6,14,14,53,47,0.00,0.00,1.08,1.71,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.70,2.99,2.70,1.35,2.10,3.65,7.20,1.82,1.84,Cheonan Baekseok Stadium (Cheonan)
1677645000,Mar 01 2023 - 4:30am,complete,N/A,Jeonnam Dragons,Anyang,Gyu-Hyun Choi,1,0.00,0.00,1.89,1.33,0,1,1,0,0,0,"","90'4",3,9,0,0,1,0,0,0,0,1,13,17,4,7,9,10,12,6,48,52,0.00,0.00,1.39,1.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.68,3.20,2.57,1.40,2.25,4.00,7.50,1.83,1.83,Gwangyang Stadium (Gwangyang)
1677654000,Mar 01 2023 - 7:00am,complete,N/A,Seongnam,Ansan Greeners,Cho Ji-Um,1,0.00,0.00,1.28,0.72,2,1,3,2,1,1,"11,90'7","45'5",8,7,1,0,1,0,0,1,0,1,17,11,9,2,8,9,15,12,57,43,0.00,0.00,2.25,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.93,3.44,3.82,1.30,1.89,3.25,6.00,1.83,1.83,Tancheon Sports Complex (Seongnam)
1677654000,Mar 01 2023 - 7:00am,complete,N/A,Asan Mugunghwa,Sangju Sangmu,N/A,1,0.00,0.00,1.67,1.61,1,2,3,0,0,0,"50","85,90'3",5,3,2,0,2,0,1,1,1,1,11,8,6,5,5,3,10,8,37,63,0.00,0.00,1.52,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.59,3.25,2.52,1.36,2.00,3.50,6.50,1.80,1.91,Yishunsin Stadium (Asan)
1677654000,Mar 01 2023 - 7:00am,complete,N/A,Seoul E-Land,Cheongju,Kwang-Ho Choi,1,0.00,0.00,0.89,1.28,2,3,5,1,0,1,"71,76","9,51,64",6,1,0,0,2,0,0,0,0,2,10,6,4,5,6,1,7,13,62,38,0.00,0.00,1.33,0.94,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.28,3.65,1.31,2.00,3.50,7.25,1.90,1.86,Mokdong Stadium (Seoul)
1677904200,Mar 04 2023 - 4:30am,complete,N/A,Bucheon 1995,Seongnam,Jong-Myeong Park,2,0.00,0.00,1.94,1.17,1,0,1,1,1,0,"33","",3,8,3,0,2,0,0,3,1,1,9,10,3,2,6,8,9,7,47,53,0.00,0.00,1.19,1.28,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.20,2.40,1.32,1.95,3.48,6.85,1.78,1.88,Bucheon Stadium (Bucheon)
1677904200,Mar 04 2023 - 4:30am,complete,N/A,Cheongju,Sangju Sangmu,Seung-Hwan Choi,2,0.00,3.00,1.61,1.61,0,2,2,1,0,1,"","31,90'2",3,5,2,0,1,0,0,2,1,0,11,9,0,3,11,6,14,13,47,53,0.00,1.22,1.03,1.22,1.50,50,50,50,0,0,0,0,50,50,3.00,2.00,4.00,3.20,1.85,1.35,2.10,3.74,7.40,1.92,1.84,Cheongju Stadium (Cheongju)
1677913200,Mar 04 2023 - 7:00am,complete,N/A,Ansan Greeners,Asan Mugunghwa,Deok-Hyo Sung,2,0.00,0.00,0.67,0.67,1,0,1,1,1,0,"34","",3,6,2,0,2,0,1,1,0,2,7,8,4,3,3,5,8,5,42,58,0.00,0.00,1.15,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.00,2.70,1.33,2.05,3.65,7.20,1.88,1.78,Ansan Wa Stadium (Ansan)
1677990600,Mar 05 2023 - 4:30am,complete,N/A,Gimpo Citizen,Cheonan City,Jae-Hong Kim,2,0.00,0.00,1.68,0.56,4,0,4,1,1,0,"16,84,89,90'9","",4,2,1,0,3,0,1,0,0,3,13,6,10,3,3,3,8,6,56,44,0.00,0.00,2.17,0.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.10,3.00,1.35,2.13,3.60,6.75,1.85,1.91,Gimpo Salter Soccer Field (Gimpo)
