timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1660305600,Aug 12 2022 - 12:00pm,complete,N/A,Bangkok United,Khon Kaen United,Sivakorn Pu-udom,1,0.00,0.00,2.47,0.60,2,0,2,1,1,0,"43,82","",4,3,0,0,3,0,0,0,0,3,16,4,12,3,4,1,-1,-1,54,46,0.00,0.00,2.38,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.23,5.00,8.00,1.16,1.48,2.38,3.75,1.87,1.89,Thammasat Stadium (Pathum Thani)
1660388400,Aug 13 2022 - 11:00am,complete,N/A,Ratchaburi,Muang Thong United,Songkran Bunmeekiart,1,0.00,0.00,1.53,1.27,1,0,1,0,0,0,"81","",4,3,1,0,3,0,0,1,0,3,10,3,5,2,5,1,-1,-1,47,53,0.00,0.00,1.46,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.82,3.45,2.10,1.22,1.66,2.84,5.00,1.63,2.22,Mitr Phol Stadium (Ratchaburi)
1660390200,Aug 13 2022 - 11:30am,complete,N/A,Lampang,Nong Bua Pitchaya,Niwat Insa-ard,1,0.00,0.00,0.93,0.27,1,0,1,0,0,0,"46","",1,7,1,0,2,0,0,1,0,2,7,13,2,5,5,8,-1,-1,48,52,0.00,0.00,1.12,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.47,3.30,2.68,1.30,2.01,3.36,6.60,1.78,1.93,Lampang Provincial Stadium (Lampang)
1660392000,Aug 13 2022 - 12:00pm,complete,N/A,Nakhon Ratchasima,Buriram United,Natee Choosuwan,1,0.00,0.00,1.33,2.40,1,2,3,2,1,1,"1","23,49",2,5,2,0,1,0,1,1,0,1,10,14,6,6,4,8,-1,-1,45,55,0.00,0.00,1.76,2.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.80,4.40,1.39,1.26,1.88,2.98,5.75,1.99,1.78,His Majesty the King's 80th Birthday Anniversary 5th December 2007 Stadium (Nakhon Ratchasima)
1660474800,Aug 14 2022 - 11:00am,complete,N/A,Chiangrai United,BEC Tero Sasana,Kotchapoom Meesridecha,1,0.00,0.00,1.87,1.07,1,0,1,1,1,0,"28","",2,3,2,0,1,0,1,1,1,0,11,13,4,3,7,10,-1,-1,44,56,0.00,0.00,1.28,1.50,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.40,4.75,1.30,1.98,3.25,5.50,1.85,1.91,LEO Chiangrai Stadium (Chiang Rai)
1660476600,Aug 14 2022 - 11:30am,complete,N/A,Sukhothai,Prachuap,Wiwat Jumpaoon,1,0.00,0.00,1.47,0.87,0,3,3,1,0,1,"","32,68,88",8,6,2,0,0,0,1,1,0,0,17,17,2,9,15,8,-1,-1,54,46,0.00,0.00,1.67,2.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.10,2.50,1.22,1.89,2.80,5.40,1.65,2.18,Thung Talay Luang Stadium (Sukhothai)
1660478400,Aug 14 2022 - 12:00pm,complete,N/A,Port FC,Lamphun Warrior,Mongkolchai Pechsri,1,0.00,0.00,2.07,0.87,0,0,0,0,0,0,"","",3,7,1,0,3,0,0,1,1,2,13,13,5,4,8,9,-1,-1,48,52,0.00,0.00,1.89,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,3.50,5.00,1.20,1.70,2.70,4.60,1.68,2.13,PAT Stadium (Bangkok)
1660910400,Aug 19 2022 - 12:00pm,complete,N/A,Buriram United,Sukhothai,N/A,2,0.00,0.00,2.53,0.80,6,1,7,4,4,0,"9,30,37,41,51,89","90'5",10,3,0,0,2,0,0,0,2,0,14,6,12,2,2,4,-1,-1,53,47,0.00,0.00,2.39,1.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.16,5.20,11.00,1.21,1.57,2.69,4.60,2.25,1.55,Chang Arena (Buriram)
1660993200,Aug 20 2022 - 11:00am,complete,N/A,Nong Bua Pitchaya,Bangkok United,Songkran Bunmeekiart,2,0.00,0.00,1.13,1.67,0,1,1,1,0,1,"","32",1,4,1,0,4,0,1,0,0,4,10,9,5,4,5,5,-1,-1,45,55,0.00,0.00,1.37,1.35,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.85,3.10,1.82,1.36,2.00,3.74,7.00,1.94,1.82,Pitchaya Stadium (Nong Bua Lamphu (Nong Bua Lam Phu))
1660996800,Aug 20 2022 - 12:00pm,complete,N/A,BEC Tero Sasana,Chonburi,Phanumat Pansamo,2,0.00,0.00,1.80,1.13,0,2,2,2,0,2,"","32,45",7,1,4,0,2,0,3,1,1,1,15,8,3,5,12,3,-1,-1,64,36,0.00,0.00,1.79,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.05,2.30,1.23,1.84,2.88,5.25,1.64,2.20,Boonyachinda Stadium (Bangkok)
