Ettan North,"-8,5"
Regionalliga Nord,"-7,3"
2. SNL,"-4,3"
Kakkonen,"-4,2"
Ligue 1,-3
3. Division,"-2,9"
Chinese Super League,"-2,6"
J2 League,"-2,6"
Oberliga Westfalen,"-2,3"
Division 2 Norra Gotaland,"-2,2"
EFL League Two,-2
Liga MX Femenil,-2
Liga Premier Serie A,-2
First Division,-2
Ettan South,"-1,9"
Welsh Premier League,"-1,9"
League One,"-1,9"
Regionalliga Nordost,"-1,8"
J1 League,"-1,6"
NIFL Championship,"-1,6"
Primera División FPD,"-1,6"
SuperLiga,"-1,6"
Regionalliga Bayern,"-1,5"
2. Bundesliga,"-1,3"
3 Liga Group 2,"-1,3"
1st Division,"-1,3"
Regionalliga Südwest,"-1,2"
3. Division Group 3,-1
Division 2 Sodra Svealand,-1
Oberliga Hessen,-1
Oberliga Mittelrhein,-1
Oberliga Nordost Süd,-1
Premier League,-1
Professional League,"-0,9"
Primera Division,"-0,9"
2. Liga,"-0,9"
Superettan,"-0,899999999999999"
2nd Division,"-0,8"
Faroe Islands Premier League,"-0,7"
FNL,"-0,6"
Liga de Ascenso,"-0,6"
Meistriliiga,"-0,6"
Northern Premier League,"-0,6"
1. Liga Promotion,"-0,5"
Oberliga Bayern Süd,"-0,5"
Liga MX,"-0,4"
3 Liga East,"-0,3"
3. Division Group 1,"-0,3"
EFL League One,"-0,3"
Ekstraklasa,"-0,3"
Montenegrin Second League,"-0,3"
NWSL,"-0,3"
Oberliga Schleswig Holstein,"-0,3"
Süper Lig,"-0,3"
Taiwan Football Premier League,"-0,3"
Division 2 Norra Svealand,"-0,2"
Eredivisie,"-0,2"
Oberliga Niederrhein,"-0,2"
Liga Premier Serie B,"0,0999999999999996"
LFPB,"0,0999999999999999"
Regionalliga Mitte,"0,0999999999999999"
First Division B,"0,2"
Bundesliga,"0,2"
Allsvenskan,"0,3"
1. Deild,"0,4"
3. Division Group 5,"0,4"
Esiliiga,"0,4"
First Amateur Division,"0,4"
First League,"0,4"
Oberliga Niedersachsen,"0,4"
Virsliga,"0,4"
3 Liga Group 4,"0,5"
Super League,"0,5"
Eliteserien,"0,5"
Isthmian Premier Division,"0,6"
3. Liga Series 6,"0,7"
Derde Divisie Zondag,"0,7"
Division 2 Norrland,"0,7"
Erovnuli Liga 2,"0,7"
Hong Kong Premier League,"0,7"
K League 2,"0,7"
NB II,"0,7"
Primera Categoría Serie A,"0,7"
Serie A,"0,7"
Serie C Group B,"0,7"
Top Liga,"0,7"
1. Liga,"0,8"
3 Liga West,"0,8"
NB I,"0,8"
Oberliga Bayern Nord,"0,8"
Primera División,"0,8"
PrvaLiga,"0,8"
3. Liga,"0,800000000000001"
Oberliga Rheinland Pfalz Saar,"0,800000000000002"
Challenge League,"0,9"
Pro League,1
Ascenso MX,"1,1"
Oberliga Baden Wurttemberg,"1,1"
Oberliga Hamburg,"1,1"
Championship,"1,2"
National League,"1,2"
4. Liga Division B,"1,4"
La Liga,"1,4"
MLS Next Pro,"1,4"
NIFL Premiership,"1,4"
Primera B,"1,4"
Liga 1,"1,5"
Thai League T1,"1,5"
Russian Premier League,"1,8"
3. Liga MSFL,"2,2"
K League 1,"2,5"
Super Liga,"2,5"
3. Liga CFL,"2,5"
Regionalliga West,"2,6"
3 Liga Group 3,"2,8"
Damallsvenskan,"2,8"
National Division,"2,8"
3 Liga Group 1,"3,2"
Division 2 Vastra Gotaland,"3,2"
1 Lyga,"3,8"
Regionalliga Ost,"3,8"
Division 2 Sodra Gotaland,"4,6"
Southern League Premier Central,"6,39999999999999"
Southern League Premier South,"7,3"
Eerste Divisie,"13,9"
Total Resultado,"19,6999999999997"
Liga,Soma - Profit_Btts
