Date,Hora,Liga,Home,Away,Placar FT,Winrate,Profit_HA
16.09.2023,21:30:00,Serie A,Palmeiras,Goi�s,1x0,1,"0,5"
16.09.2023,22:30:00,Categoria Primera A,Millonarios,Atl�tico Bucaramanga,3x0,1,"0,5"
16.09.2023,02:00:00,K League 1,Jeonbuk Motors,Gangwon,1x3,0,-1
16.09.2023,04:30:00,K League 1,Pohang Steelers,Suwon,2x0,1,"0,5"
16.09.2023,06:30:00,K League 2,Busan I'Park,Seongnam,3x0,1,"0,5"
16.09.2023,07:00:00,K League 1,Ulsan,Daejeon Citizen,1x1,0,"-0,5"
16.09.2023,07:00:00,J3 League,Imabari,Parceiro Nagano,2x0,1,"0,5"
16.09.2023,07:00:00,Kakkonen,OLS,RoPS,5x2,1,"0,5"
16.09.2023,08:30:00,China League Two,Yunnan Yukun,Qingdao Red Lions,1x0,1,"0,5"
16.09.2023,10:00:00,Superettan,Brage,Trelleborg,1x1,0,"-0,5"
16.09.2023,10:00:00,Kazakhstan Premier League,Astana,Tobol,2x1,1,"0,5"
16.09.2023,11:00:00,Ettan South,Eskilsminne,V�nersborgs IF,3x1,1,"0,5"
16.09.2023,11:00:00,Ettan South,Falkenberg,Norrby,2x1,1,"0,5"
16.09.2023,13:30:00,Meistriliiga,Tallinna FC Levadia,Paide,1x0,1,"0,5"
16.09.2023,17:45:00,Prim B Nacional,Almirante Brown,Estudiantes R�o Cuarto,0x1,0,-1
16.09.2023,18:00:00,Categoria Primera B,C�cuta Deportivo,Real Cartagena,2x0,1,"0,5"
17.09.2023,05:00:00,Liga 1,Madura United,Persebaya Surabaya,3x0,1,"0,5"
17.09.2023,08:00:00,Superettan,GAIS,Helsingborg,4x1,1,"0,5"
17.09.2023,08:00:00,Kakkonen,Klubi-04,PEPO,1x0,1,"0,5"
17.09.2023,09:00:00,Liga 1,Borneo,PSS Sleman,1x0,1,"0,5"
17.09.2023,10:00:00,First Division,Fredrikstad,Sogndal,2x1,1,"0,5"
17.09.2023,12:30:00,Allsvenskan,Elfsborg,Kalmar,0x3,0,-1
17.09.2023,12:30:00,Vysheyshaya Liga,Dinamo Minsk,Neman Grodno,2x1,1,"0,5"
17.09.2023,14:00:00,Primera Divisi�n FPD,Cartagin�s,Sporting San Jos�,2x1,1,"0,5"
17.09.2023,15:45:00,Serie B,Guarani,Tombense,3x0,1,"0,5"
17.09.2023,17:15:00,Prim B Nacional,Deportivo Mor�n,All Boys,0x0,0,"-0,5"
17.09.2023,18:00:00,Categoria Primera A,Santa Fe,Alianza Petrolera,0x1,0,-1
17.09.2023,18:00:00,Serie B,Vit�ria,Ava�,3x0,1,"0,5"
17.09.2023,18:00:00,Prim B Nacional,Quilmes,Club Atl�tico Mitre,1x3,0,-1
17.09.2023,20:40:00,Primera Divisi�n,Academia Puerto Cabello,Portuguesa,4x1,1,"0,5"
19.09.2023,07:00:00,K League 2,Busan I'Park,Ansan Greeners,2x0,1,"0,5"
19.09.2023,12:15:00,Oberliga Bayern Süd,Pipinsried,Gundelfingen,1x0,1,"0,5"
19.09.2023,15:45:00,National League,Barnet,Aldershot Town,2x1,1,"0,5"
19.09.2023,15:45:00,National League,Chesterfield,Halifax Town,3x2,1,"0,5"
19.09.2023,15:45:00,National League,Southend United,Maidenhead United,2x0,1,"0,5"
19.09.2023,16:00:00,Categoria Primera B,Patriotas Boyacá,Orsomarso,1x0,1,"0,5"
19.09.2023,18:05:00,Categoria Primera B,Deportes Quindío,Llaneros,0x0,0,"-0,5"
20.09.2023,17:30:00,Categoria Primera B,Fortaleza CEIF,Real Cartagena,1x0,1,"0,5"
20.09.2023,20:30:00,Primera División,Cienciano,ADT,2x2,0,"-0,5"
20.09.2023,22:20:00,Categoria Primera A,Atlético Nacional,Santa Fe,3x0,1,"0,5"
20.09.2023,23:00:00,Primera División FPD,Cartaginés,Pérez Zeledón,4x0,1,"0,5"
21.09.2023,15:00:00,Primera División,Sport Huancayo,Deportivo Garcilaso,0x0,0,"-0,5"
21.09.2023,17:20:00,Primera División,Real Garcilaso,Atlético Grau,0x0,0,"-0,5"
21.09.2023,18:30:00,Primera B,Cobreloa,Deportes Santa Cruz,2x0,1,"0,5"
21.09.2023,19:30:00,Serie A,Atlético PR,Internacional,2x1,1,"0,5"
21.09.2023,22:20:00,Categoria Primera A,Millonarios,Atlético Huila,1x0,1,"0,5"
22.09.2023,08:35:00,Chinese Super League,Shanghai Shenhua,Shijiazhuang Ever Bright,2x0,1,"0,5"
22.09.2023,10:30:00,Uzbekistan Super League,Termez Surkhon,Qizilqum,1x2,0,-1
22.09.2023,11:00:00,1 Lyga,Nevėžis,FK Vilnius,2x2,0,"-0,5"
22.09.2023,11:30:00,First League,CSKA 1948 Sofia,Cherno More,1x1,0,"-0,5"
22.09.2023,11:30:00,FNL,Táborsko,Příbram,0x1,0,-1
22.09.2023,15:45:00,First Division,Cobh Ramblers,Finn Harps,5x1,1,"0,5"
22.09.2023,15:45:00,Premier Division,St Patrick's Athl.,Dundalk,3x1,1,"0,5"
22.09.2023,21:10:00,Prim B Nacional,Independiente Rivadavia,Atlético Rafaela,2x1,1,"0,5"
22.09.2023,21:30:00,Serie B,Atlético GO,Criciúma,3x1,1,"0,5"
23.09.2023,04:00:00,J1 League,Nagoya Grampus,Consadole Sapporo,1x1,1,"0,5"
23.09.2023,04:00:00,K League 2,Sangju Sangmu,Anyang,4x1,1,"0,5"
23.09.2023,05:00:00,Liga 1,Persebaya Surabaya,Arema,3x1,1,"0,5"
23.09.2023,06:00:00,J2 League,JEF United,Vegalta Sendai,3x1,1,"0,5"
23.09.2023,06:00:00,J3 League,Ehime,Kagoshima United,0x2,0,-1
23.09.2023,07:00:00,J3 League,Imabari,Vanraure Hachinohe,2x0,1,"0,5"
23.09.2023,09:00:00,1 Lyga,Neptūną Klaipėda,Ekranas,3x1,1,"0,5"
23.09.2023,09:00:00,First League,Arda,Hebar 1918,3x1,1,"0,5"
23.09.2023,09:00:00,Regionalliga Bayern,Deutsche Jugend Kraft Vilzing,Viktoria Aschaffenburg,2x1,1,"0,5"
23.09.2023,09:00:00,Oberliga Bayern Süd,Schwaben Augsburg,Deisenhofen,1x0,1,"0,5"
23.09.2023,10:00:00,First Division,Sogndal,Åsane,1x1,0,"-0,5"
23.09.2023,10:00:00,Kazakhstan Premier League,Kairat,Shakhter Karagandy,0x0,0,"-0,5"
23.09.2023,11:00:00,Ettan North,Dalkurd,United Nordic,1x2,0,-1
23.09.2023,11:00:00,Ettan South,Eskilsminne,Oskarshamns AIK,0x1,0,-1
23.09.2023,11:00:00,Second League,Yantra 2019,Chernomorets Balchik,1x3,0,-1
23.09.2023,11:00:00,2. SNL,NK Primorje,Bistrica,2x2,0,"-0,5"
23.09.2023,11:00:00,National League,Barnet,Halifax Town,0x0,0,"-0,5"
23.09.2023,11:00:00,National League,Southend United,Fylde,1x2,0,-1
23.09.2023,11:00:00,FNL,Spartak Vladikavkaz,SKA Khabarovsk,2x1,1,"0,5"
23.09.2023,11:30:00,First League,Lokomotiv Plovdiv,Slavia Sofia,2x0,1,"0,5"
23.09.2023,11:30:00,FNL,Vlašim,Opava,1x1,0,"-0,5"
