Partida,Data,Mercado,Probabilidade,Odd Esperada,Odd Ofertada
Hirnyk-Sport vs Metalurh Zaporizhya B,Friday October 13,Under 2.5,70%,1.43,1.90
Ahrobiznes Volochysk vs Epitsentr Dunayivtsi,Friday October 13,Under 2.5,80%,1.25,1.65
Gorica vs Tabor Sežana,Friday October 13,Under 1.5,35%,2.86,4.25
Garbarnia Kraków vs Chełmianka Chełm,Friday October 13,Over 2.5,73%,1.37,1.60
Defensa y Justicia Res. vs Unión Santa Fe Res.,Friday October 13,9.5+ Corners,61%,1.64,2.10
Gil Vicente U19 vs Famalicão U19,Friday October 13,Over 2.5,75%,1.33,1.70
Garliava vs Kauno Žalgiris II,Friday October 13,Under 2.5,63%,1.59,2.07
Garliava vs Kauno Žalgiris II,Friday October 13,Under 3.5,88%,1.14,1.53
Baťov vs Vsetín,Friday October 13,Under 2.5,50%,2.00,2.63
Baťov vs Vsetín,Friday October 13,Under 3.5,70%,1.43,1.70
Baťov vs Vsetín,Friday October 13,Under 4.5,90%,1.11,1.28
Zürich II vs FC Bulle,Friday October 13,9.5+ Corners,75%,1.33,2.10
Herlev vs Brønshøj,Friday October 13,9.5+ Corners,68%,1.47,2.10
Lafnitz II vs Kalsdorf,Friday October 13,Over 2.5,80%,1.25,1.50
Vorwärts Steyr vs St. Anna,Friday October 13,Under 1.5,41%,2.44,4.70
Vorwärts Steyr vs St. Anna,Friday October 13,Under 2.5,55%,1.82,2.50
Vorwärts Steyr vs St. Anna,Friday October 13,Under 3.5,73%,1.37,1.60
Siegendordf vs Marz,Friday October 13,Under 2.5,45%,2.22,3.25
Union Gamlit vs Lebring,Friday October 13,Over 3.5,70%,1.43,1.78
Krems vs Traiskirchen,Friday October 13,Over 3.5,55%,1.82,2.26
Wallern / Marienkirchen vs Weiz,Friday October 13,Over 3.5,60%,1.67,2.20
Memmingen vs Eintracht Bamberg,Friday October 13,9.5+ Corners,68%,1.47,2.20
Memmingen vs Eintracht Bamberg,Friday October 13,10.5+ Corners,68%,1.47,1.99
Næstved II vs Gørslev,Friday October 13,Over 3.5,56%,1.79,2.25
Slagelse B&I vs Glostrup,Friday October 13,Under 2.5,56%,1.79,2.20
Spartak Myjava vs Slovan Bratislava II,Friday October 13,Under 1.5,42%,2.38,4.10
Spartak Myjava vs Slovan Bratislava II,Friday October 13,Under 3.5,75%,1.33,1.59
Borussia Dortmund II vs Rot-Weiss Essen,Friday October 13,9.5+ Corners,70%,1.43,2.10
Borussia Dortmund II vs Rot-Weiss Essen,Friday October 13,10.5+ Corners,60%,1.67,2.85
Kilia Kiel vs Weiche Flensburg,Friday October 13,9.5+ Corners,61%,1.64,2.10
Eimsbutteler TV vs Drochtersen / Assel,Friday October 13,9.5+ Corners,78%,1.28,2.10
Eimsbutteler TV vs Drochtersen / Assel,Friday October 13,10.5+ Corners,68%,1.47,2.08
Wiedenbrück vs Rödinghausen,Friday October 13,Under 1.5,45%,2.22,3.85
Wiedenbrück vs Rödinghausen,Friday October 13,Under 2.5,70%,1.43,2.10
Fortuna Köln vs Rot Weiss Ahlen,Friday October 13,Under 2.5,50%,2.00,3.00
Fortuna Köln vs Rot Weiss Ahlen,Friday October 13,Under 3.5,75%,1.33,1.73
Schwarz-Weiß Rehden vs Bersenbrück,Friday October 13,Over 2.5,75%,1.33,1.60
Schwarz-Weiß Rehden vs Bersenbrück,Friday October 13,9.5+ Corners,90%,1.11,1.93
Victoria Hamburg vs ETSV Hamburg,Friday October 13,Over 2.5,100%,1.00,1.30
Victoria Hamburg vs ETSV Hamburg,Friday October 13,9.5+ Corners,65%,1.54,1.91
Bergisch Gladbach vs Bonner SC,Friday October 13,Under 1.5,36%,2.78,4.10
Straelen vs TVD Velbert,Friday October 13,Under 2.5,56%,1.79,2.63
Dundela vs H&W Welders,Friday October 13,Under 3.5,75%,1.33,1.62
Dundela vs H&W Welders,Friday October 13,Under 4.5,100%,1.00,1.21
Carrick Rangers vs Linfield,Friday October 13,Under 2.5,60%,1.67,2.33
Carrick Rangers vs Linfield,Friday October 13,Under 3.5,80%,1.25,1.60
Carrick Rangers vs Linfield,Friday October 13,9.5+ Corners,80%,1.25,1.65
Crusaders vs Ballymena United,Friday October 13,Under 1.5,30%,3.33,5.30
Crusaders vs Ballymena United,Friday October 13,Under 2.5,60%,1.67,2.47
Crusaders vs Ballymena United,Friday October 13,Under 3.5,90%,1.11,1.62
Crusaders vs Ballymena United,Friday October 13,Under 4.5,90%,1.11,1.27
